Player,G,MP,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Raul Neto,2,3.5,.000,.500,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,netora01
Georges Niang,11,14.3,.667,,0.0,0.4,0.4,0.2,0.0,0.2,0.5,4.4,niangge01
Zeke Nnaji,5,2.4,.625,,0.0,0.4,0.4,0.0,0.2,0.0,0.2,1.0,nnajize01
Jaylen Nowell,5,12.4,.288,.500,0.8,0.2,1.0,0.6,0.0,0.0,0.4,3.2,nowelja01
Royce O'Neale,4,29.5,.310,1.000,1.0,3.3,4.3,3.5,1.3,0.3,1.0,5.0,onealro01
Josh Okogie,10,17.5,.405,.846,1.2,0.9,2.1,1.3,0.6,0.2,0.3,4.1,okogijo01
Onyeka Okongwu,6,21.8,.620,.500,3.2,3.2,6.3,1.2,0.3,1.3,1.2,6.0,okongon01
Isaac Okoro,5,15.0,.565,1.000,0.6,0.8,1.4,0.8,0.4,0.4,0.8,6.4,okorois01
Victor Oladipo,2,22.5,.579,.333,0.5,3.0,3.5,1.0,1.0,0.5,1.0,11.5,oladivi01
Cedi Osman,5,18.6,.480,.667,0.2,2.8,3.0,1.0,0.4,0.2,1.0,6.0,osmande01
Chris Paul,7,35.7,.467,.500,0.7,4.3,5.0,7.4,1.7,0.7,1.0,12.4,paulch01
Cameron Payne,7,21.7,.594,.000,0.0,2.0,2.0,2.9,0.4,0.3,1.3,8.1,payneca01
Gary Payton II,12,16.0,.704,.667,1.8,1.8,3.7,0.8,0.7,0.5,0.9,6.8,paytoga02
Mason Plumlee,5,18.2,.875,.929,3.2,3.6,6.8,1.8,0.4,0.4,0.6,8.2,plumlma01
Jordan Poole,13,21.8,.400,.765,0.3,1.8,2.2,3.5,0.8,0.2,1.2,10.3,poolejo01
Michael Porter Jr.,20,32.7,.521,.793,1.0,7.1,8.1,1.6,0.5,0.6,0.5,13.4,portemi01
Bobby Portis,5,21.4,.549,1.000,2.0,6.2,8.2,1.2,0.6,0.4,0.8,9.6,portibo01
Norman Powell,5,33.4,.559,.774,0.8,2.2,3.0,2.2,0.8,0.4,1.6,21.8,powelno01
Jason Preston,1,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prestja01
Taurean Prince,5,20.0,.485,.778,0.6,0.8,1.4,0.8,0.6,0.2,1.0,7.8,princta02
Payton Pritchard,10,5.7,.636,.800,0.0,0.6,0.6,1.1,0.1,0.0,0.5,3.2,pritcpa01
Immanuel Quickley,8,21.9,.417,.850,0.3,1.4,1.6,1.0,0.5,0.0,1.1,9.0,quickim01
Julius Randle,10,33.0,.432,.709,1.7,6.6,8.3,3.6,0.5,0.3,3.5,16.6,randlju01
Austin Reaves,16,36.2,.564,.895,1.3,3.2,4.4,4.6,0.6,0.2,1.6,16.9,reaveau01
Paul Reed,11,14.3,.579,1.000,2.5,3.0,5.5,0.6,0.5,0.4,0.5,4.6,reedpa01
