Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Jordan Adams,4,2.5,.833,.500,0.3,0.0,0.3,0.0,0.0,1.8,adamsjo01
2,Arron Afflalo,3,20.0,.208,.000,2.3,0.7,0.0,0.0,1.0,1.7,afflaar01
3,Alexis Ajinça,3,3.3,1.000,,0.3,0.3,0.3,0.0,0.0,2.7,ajincal01
4,LaMarcus Aldridge,5,41.6,.344,.889,11.2,1.8,0.4,2.4,1.6,21.8,aldrila01
5,Tony Allen,10,27.9,.500,.750,5.2,1.5,2.4,1.1,1.3,6.6,allento01
6,Al-Farouq Aminu,5,30.0,.661,.789,7.2,1.2,2.0,1.6,1.2,11.2,aminual01
7,Alan Anderson,6,23.7,.732,.667,3.5,1.2,0.7,0.2,1.3,11.0,anderal01
8,Ryan Anderson,4,23.8,.514,1.000,4.3,2.3,0.0,0.5,1.0,10.8,anderry01
9,Giannis Antetokounmpo,6,33.5,.366,.739,7.0,2.7,0.5,1.5,1.8,11.5,antetgi01
10,Pero Antić,15,13.3,.430,.800,2.9,0.3,0.1,0.2,0.3,4.2,anticpe01
11,Trevor Ariza,17,38.5,.528,.905,6.4,2.6,1.8,0.1,1.4,13.2,arizatr01
12,Ömer Aşık,4,19.8,.200,.571,7.3,1.5,1.3,0.0,1.3,2.0,asikom01
13,Jeff Ayres,3,4.0,.000,,1.0,0.7,0.0,0.0,0.0,0.0,pendeje02
14,Leandro Barbosa,21,10.9,.489,.818,1.3,0.9,0.3,0.0,0.6,5.0,barbole01
15,J.J. Barea,5,30.8,.474,.833,4.8,7.4,0.8,0.0,2.8,11.8,bareajo01
16,Harrison Barnes,21,32.4,.495,.735,5.2,1.5,0.8,0.5,1.0,10.6,barneha02
17,Matt Barnes,14,29.2,.460,.750,5.1,1.6,1.4,0.7,1.1,7.6,barnema02
18,Brandon Bass,4,21.5,.350,.600,2.0,2.5,0.3,0.8,0.8,5.0,bassbr01
19,Nicolas Batum,5,41.8,.436,.769,8.6,5.2,0.2,0.2,2.4,14.2,batumni01
20,Jerryd Bayless,6,20.0,.371,.765,2.5,3.0,0.3,0.3,0.7,6.5,bayleje01
21,Aron Baynes,4,10.0,.300,1.000,2.5,0.3,0.0,0.0,0.8,2.3,baynear01
22,Kent Bazemore,16,18.9,.465,.677,3.3,0.8,0.7,0.6,0.7,5.4,bazemke01
23,Bradley Beal,10,41.8,.463,.831,5.5,4.6,1.6,0.7,2.6,23.4,bealbr01
24,Marco Belinelli,7,16.6,.692,.846,1.9,1.4,0.3,0.0,0.7,9.3,belinma01
25,Steve Blake,5,8.6,.227,1.000,0.2,1.6,0.0,0.2,0.4,1.4,blakest01
26,Bojan Bogdanović,6,34.3,.483,.714,3.8,1.7,0.7,0.3,1.3,10.3,bogdabo02
27,Andrew Bogut,19,23.2,.560,.385,8.1,1.9,0.6,1.8,1.4,4.7,bogutan01
28,Matt Bonner,7,5.1,.300,,0.9,0.1,0.0,0.1,0.1,0.9,bonnema01
29,Avery Bradley,4,33.3,.430,.857,3.8,0.8,0.8,0.0,0.8,12.3,bradlav01
30,Elton Brand,3,1.3,.000,.500,0.3,0.0,0.0,0.0,0.0,0.3,brandel01
31,Corey Brewer,17,25.2,.467,.636,2.8,1.1,0.6,0.2,0.9,11.2,breweco01
32,Aaron Brooks,12,11.0,.410,.571,1.5,0.9,0.3,0.1,0.8,4.5,brookaa01
33,Markel Brown,2,5.0,.400,1.000,1.0,0.5,0.0,0.0,1.0,3.0,brownma02
34,Jimmy Butler,12,42.2,.507,.819,5.6,3.2,2.4,0.8,1.8,22.9,butleji01
35,Rasual Butler,2,3.5,.000,,0.5,0.5,0.0,0.0,0.0,0.0,butlera01
36,Will Bynum,3,10.3,.536,.800,1.0,1.0,0.7,0.3,1.7,6.3,bynumwi01
37,Nick Calathes,9,14.0,.417,.375,1.8,1.8,1.0,0.1,1.1,3.7,calatni01
38,Clint Capela,17,7.5,.677,.517,2.5,0.3,0.2,0.5,0.2,3.4,capelca01
39,DeMarre Carroll,16,34.9,.568,.780,6.1,2.0,1.1,0.3,0.9,14.6,carrode01
40,Vince Carter,11,17.8,.455,.889,4.3,1.0,0.6,0.2,0.6,6.3,cartevi01
41,Michael Carter-Williams,6,31.8,.423,.583,4.5,4.8,1.2,1.0,2.7,12.2,cartemi01
42,Tyson Chandler,5,32.0,.655,.500,10.8,0.2,0.6,1.2,1.0,10.2,chandty01
43,Earl Clark,2,6.5,.300,,1.0,0.0,0.5,0.0,0.0,3.0,clarkea01
44,Norris Cole,4,26.5,.458,.667,1.8,1.8,0.0,0.3,2.0,8.8,coleno01
45,Mike Conley,8,30.4,.479,.821,1.1,5.0,1.4,0.0,1.5,14.4,conlemi01
46,Allen Crabbe,2,19.5,1.000,,1.5,0.5,1.0,0.5,0.5,5.0,crabbal01
47,Jamal Crawford,14,27.1,.409,.867,2.1,1.9,0.9,0.2,1.2,12.7,crawfja01
48,Jae Crowder,4,25.0,.569,.769,5.0,2.0,1.0,0.8,1.3,10.8,crowdja01
49,Dante Cunningham,4,18.8,.818,1.000,4.5,0.5,0.8,1.0,0.0,5.3,cunnida01
50,Stephen Curry,21,39.3,.567,.835,5.0,6.4,1.9,0.1,3.9,28.3,curryst01
51,Gigi Datome,3,4.7,.333,,0.3,0.3,0.0,0.0,0.0,1.3,datomlu01
52,Anthony Davis,4,43.0,.540,.889,11.0,2.0,1.3,3.0,3.3,31.5,davisan02
53,Glen Davis,14,10.3,.447,.778,1.9,0.2,0.4,0.4,0.6,2.9,davisgl01
54,Matthew Dellavedova,20,24.9,.434,.781,2.1,2.7,0.5,0.0,1.8,7.2,dellama01
55,DeMar DeRozan,4,39.8,.419,.824,6.3,5.8,1.5,0.0,2.5,20.3,derozde01
56,Boris Diaw,7,28.3,.507,.692,6.1,3.6,0.7,0.4,1.3,11.6,diawbo01
57,Joey Dorsey,6,2.2,.000,.500,0.7,0.3,0.0,0.0,0.2,0.2,dorsejo01
58,Jared Dudley,6,18.3,.600,.571,1.8,1.3,2.0,0.3,0.8,6.7,dudleja01
59,Tim Duncan*,7,35.7,.589,.559,11.1,3.3,1.3,1.4,1.0,17.9,duncati01
60,Mike Dunleavy,12,32.4,.642,.947,4.0,2.6,0.8,0.4,1.3,10.9,dunlemi02
61,Monta Ellis,5,39.4,.518,.750,3.2,5.2,2.0,0.6,3.2,26.0,ellismo01
62,Tyler Ennis,1,16.0,.278,,4.0,3.0,0.0,0.0,0.0,5.0,ennisty01
63,Tyreke Evans,4,31.3,.349,.588,5.0,5.0,1.3,0.3,1.5,10.0,evansty01
64,Festus Ezeli,20,9.2,.540,.552,3.1,0.3,0.1,0.5,0.6,3.5,ezelife01
65,Raymond Felton,3,12.0,.267,1.000,2.3,1.3,0.0,0.0,0.0,3.7,feltora01
66,Tim Frazier,2,1.5,.000,,0.0,0.0,0.0,0.0,0.5,0.0,fraziti01
67,Joel Freeland,2,3.5,,,0.5,0.0,0.5,0.0,0.0,0.0,freeljo01
68,Marc Gasol,11,37.8,.394,.852,10.3,4.5,0.9,1.7,1.5,19.7,gasolma01
69,Pau Gasol*,10,31.7,.487,.762,9.4,3.1,0.5,2.1,2.1,14.4,gasolpa01
70,Alonzo Gee,1,3.0,,,1.0,1.0,0.0,0.0,0.0,0.0,geeal01
71,Taj Gibson,12,23.0,.472,.700,5.5,1.0,0.3,1.0,0.9,7.4,gibsota01
72,Manu Ginóbili*,7,18.7,.442,.783,3.4,4.6,0.6,0.9,2.0,8.0,ginobma01
73,Drew Gooden,10,17.8,.475,.769,5.5,0.8,0.2,1.0,1.4,6.8,goodedr01
74,Eric Gordon,4,35.8,.539,.833,2.5,3.8,0.5,0.5,2.5,18.5,gordoer01
75,Marcin Gortat,10,30.7,.628,.667,8.8,2.2,0.6,1.1,1.6,12.4,gortama01
76,Danny Green,7,29.1,.443,.667,3.1,2.1,1.0,1.0,0.7,8.3,greenda02
77,Draymond Green,21,37.3,.467,.736,10.1,5.2,1.8,1.2,2.8,13.7,greendr01
78,JaMychal Green,5,1.6,.000,1.000,0.6,0.0,0.2,0.2,0.0,0.4,greenja01
79,Jeff Green,11,27.1,.352,.846,4.7,1.7,0.5,0.5,1.5,8.9,greenje02
80,Blake Griffin,14,39.8,.513,.717,12.7,6.1,1.0,1.0,3.2,25.5,griffbl01
81,Jorge Gutiérrez,1,12.0,.500,,1.0,1.0,0.0,0.0,0.0,2.0,gutiejo01
82,Tyler Hansbrough,4,12.0,.200,.750,1.5,0.8,0.5,0.3,0.5,1.3,hansbty01
83,James Harden,17,37.4,.509,.916,5.7,7.5,1.6,0.4,4.5,27.2,hardeja01
84,Devin Harris,4,18.5,.348,.889,2.0,1.0,0.5,0.0,1.0,6.0,harride01
85,Joe Harris,6,2.7,.417,.750,0.2,0.2,0.0,0.0,0.2,1.3,harrijo01
86,Spencer Hawes,8,7.1,.618,1.000,1.6,0.6,0.3,0.4,0.1,2.9,hawessp01
87,Brendan Haywood,1,2.0,.000,,0.0,0.0,0.0,0.0,0.0,0.0,haywobr01
88,John Henson,6,25.5,.585,.357,8.0,0.7,0.8,1.7,1.8,8.8,hensojo01
89,Nenê,10,25.7,.447,.478,6.6,1.5,0.9,0.3,1.4,7.9,hilarne01
90,Kirk Hinrich,10,12.6,.632,.667,0.5,1.1,0.3,0.1,0.1,2.6,hinriki01
91,Jrue Holiday,3,18.3,.395,1.000,1.0,4.3,0.7,0.3,1.7,6.3,holidjr01
92,Justin Holiday,5,2.2,.750,,0.2,0.2,0.0,0.0,0.4,0.6,holidju01
93,Al Horford,16,32.6,.512,.750,8.6,3.7,0.8,1.4,1.6,14.4,horfoal01
94,Dwight Howard,17,33.8,.577,.412,14.0,1.2,1.4,2.3,2.2,16.4,howardw01
95,Lester Hudson,7,5.4,.500,,0.1,1.0,0.3,0.1,0.4,2.0,hudsole01
96,Kris Humphries,1,5.0,1.000,,3.0,0.0,0.0,0.0,0.0,2.0,humphkr01
97,Andre Iguodala,21,30.2,.558,.415,4.5,3.6,1.2,0.3,0.7,10.4,iguodan01
98,Ersan İlyasova,6,23.7,.369,.700,3.8,0.5,0.8,0.5,0.8,8.7,ilyaser01
99,Kyrie Irving,13,35.7,.511,.841,3.6,3.8,1.3,0.8,1.5,19.0,irvinky01
100,Jarrett Jack,6,25.5,.565,1.000,4.2,4.5,1.2,0.2,3.3,12.3,jackja01
101,Bernard James,1,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,jamesbe01
102,LeBron James,20,42.2,.440,.731,11.3,8.5,1.7,1.1,4.1,30.1,jamesle01
103,Richard Jefferson,4,12.8,.464,1.000,0.5,0.3,0.5,0.0,0.8,3.8,jefferi01
104,John Jenkins,4,5.3,.833,,0.8,0.0,0.0,0.0,0.0,2.5,jenkijo01
