Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Jaylen Adams,3,7.0,.333,,1.0,0.7,0.3,0.0,0.0,2.0,adamsja01
2,Steven Adams,7,30.0,.596,.450,11.6,1.3,0.6,0.3,2.3,10.1,adamsst01
3,Bam Adebayo,19,36.2,.564,.783,10.3,4.4,1.0,0.8,2.5,17.8,adebaba01
4,Jarrett Allen,4,33.0,.583,.813,14.8,2.3,0.5,1.8,2.8,10.3,allenja01
5,Justin Anderson,3,9.3,.625,1.000,2.7,1.0,0.0,0.3,0.7,6.3,anderju01
6,Giannis Antetokounmpo,9,30.8,.599,.580,13.8,5.7,0.7,0.9,3.3,26.7,antetgi01
7,Carmelo Anthony,5,35.2,.471,.857,5.0,2.0,1.0,0.4,2.6,15.2,anthoca01
8,OG Anunoby,11,35.7,.551,.643,6.9,1.2,1.0,1.2,1.5,10.5,anunoog01
9,D.J. Augustin,5,25.6,.478,.957,2.0,6.0,0.2,0.0,2.4,13.2,augusdj01
10,J.J. Barea,1,5.0,.000,1.000,0.0,0.0,0.0,0.0,1.0,3.0,bareajo01
11,Keita Bates-Diop,5,4.8,.200,.500,1.2,0.2,0.0,0.0,0.0,0.6,bateske01
12,Darius Bazley,7,18.0,.597,.900,6.7,0.9,0.0,0.4,0.9,6.6,bazleda01
13,Patrick Beverley,8,20.8,.615,.500,4.1,2.4,1.0,0.4,0.9,6.3,beverpa01
14,Khem Birch,5,17.8,.500,.909,5.0,1.4,0.2,0.0,1.0,4.8,birchkh01
15,Eric Bledsoe,9,29.7,.429,.808,4.6,5.9,1.2,0.7,2.6,11.7,bledser01
16,Bol Bol,4,5.3,.667,.875,1.3,0.0,0.5,0.5,0.5,4.8,bolbo01
17,Chris Boucher,7,6.1,.364,.000,1.7,0.1,0.0,0.3,0.1,1.1,bouchch01
18,Tony Bradley,6,8.0,.222,.714,3.8,0.2,0.3,0.3,0.7,1.5,bradlto01
19,Jarrell Brantley,2,6.5,.000,.500,2.0,1.0,0.0,0.5,0.5,0.5,brantja01
20,Malcolm Brogdon,4,40.0,.469,.893,4.3,10.0,1.0,0.0,2.5,21.5,brogdma01
21,Jaylen Brown,17,39.5,.550,.841,7.5,2.3,1.5,0.5,2.4,21.8,brownja02
22,Sterling Brown,1,4.0,.000,,1.0,0.0,0.0,0.0,0.0,0.0,brownst02
23,Trey Burke,6,26.0,.576,.600,3.2,2.0,1.3,0.3,1.0,12.3,burketr01
24,Alec Burks,4,23.8,.357,.778,3.8,1.8,0.3,0.8,0.8,10.5,burksal01
25,Deonte Burton,1,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,burtode02
26,Jimmy Butler,21,38.4,.514,.859,6.5,6.0,2.0,0.7,2.8,22.2,butleji01
27,Bruno Caboclo,2,3.5,.500,,1.5,0.0,0.5,0.0,0.0,1.0,cabocbr01
28,Kentavious Caldwell-Pope,21,29.0,.537,.815,2.1,1.3,1.0,0.2,0.7,10.7,caldwke01
29,DeMarre Carroll,2,3.0,.500,,1.5,0.5,0.0,0.0,0.0,1.0,carrode01
30,Alex Caruso,21,24.3,.500,.800,2.3,2.8,1.1,0.6,1.5,6.5,carusal01
31,Tyson Chandler,1,0.0,,.000,0.0,0.0,0.0,0.0,0.0,0.0,chandty01
32,Chris Chiozza,4,16.3,.438,.500,1.5,4.3,1.3,0.0,0.8,5.8,chiozch01
33,Gary Clark,5,28.8,.500,.800,5.6,1.4,1.0,0.4,0.4,7.4,clarkga01
34,Jordan Clarkson,7,28.6,.552,1.000,3.4,2.1,0.9,0.0,1.0,16.7,clarkjo01
35,Chris Clemons,2,4.0,.600,.500,1.0,0.0,0.0,0.0,0.0,3.5,clemoch01
36,Antonius Cleveland,2,4.5,.400,,0.5,0.0,0.5,0.0,0.0,2.0,clevean01
37,Amir Coffey,3,2.3,.000,1.000,0.0,1.3,0.3,0.0,0.0,0.7,coffeam01
38,Mike Conley,5,33.0,.625,.864,2.8,5.2,1.6,0.2,1.0,19.8,conlemi01
39,Pat Connaughton,10,17.1,.543,1.000,3.9,1.1,0.2,0.2,0.5,4.0,connapa01
40,Quinn Cook,6,4.0,.600,1.000,0.2,0.8,0.0,0.0,0.2,2.2,cookqu01
41,Tyler Cook,1,4.0,,,2.0,0.0,0.0,0.0,0.0,0.0,cookty01
42,Robert Covington,12,31.6,.674,.857,5.0,1.3,2.5,1.1,1.0,11.2,covinro01
43,Torrey Craig,19,19.7,.494,.692,3.3,0.7,0.4,0.4,0.5,4.5,craigto01
44,Jae Crowder,21,31.4,.540,.761,5.6,1.9,0.7,0.6,0.7,12.0,crowdja01
45,Seth Curry,6,28.8,.679,1.000,1.8,1.3,1.0,0.0,1.3,12.8,curryse01
46,Troy Daniels,6,5.0,.625,.500,0.5,0.3,0.0,0.0,0.0,2.7,danietr01
47,Anthony Davis,21,36.6,.603,.832,9.7,3.5,1.2,1.4,2.5,27.7,davisan02
48,Terence Davis,6,14.0,.621,1.000,2.2,1.2,0.2,0.0,1.0,7.2,daviste02
49,Hamidou Diallo,3,8.3,.409,.571,2.0,0.3,0.0,0.7,0.7,4.3,diallha01
50,Donte DiVincenzo,10,16.5,.520,.650,3.2,1.2,0.7,0.3,1.0,6.6,divindo01
51,Luka Dončić,6,35.8,.563,.656,9.8,8.7,1.2,0.5,5.2,31.0,doncilu01
52,Luguentz Dort,6,29.2,.441,.533,3.7,1.0,0.3,1.0,2.5,12.5,dortlu01
53,PJ Dozier,12,10.4,.455,.571,1.5,1.0,0.2,0.2,0.7,3.2,doziepj01
54,Goran Dragić,17,32.5,.513,.803,4.1,4.4,1.0,0.1,2.3,19.1,dragigo01
55,Jared Dudley,9,3.4,.000,,0.2,0.0,0.4,0.1,0.2,0.0,dudleja01
56,Carsen Edwards,1,3.0,,,1.0,0.0,0.0,0.0,0.0,0.0,edwarca01
57,Joel Embiid,4,36.3,.486,.814,12.3,1.3,1.5,1.3,3.8,30.0,embiijo01
58,James Ennis III,5,23.8,.400,.778,5.8,1.2,1.0,0.4,1.2,7.0,ennisja01
59,Tacko Fall,2,1.5,1.000,.500,0.5,0.0,0.0,0.0,0.0,1.5,fallta01
60,Terrance Ferguson,4,10.5,.273,,1.0,0.3,0.3,0.0,0.3,1.5,fergute01
61,Dorian Finney-Smith,6,31.8,.548,.800,5.7,3.2,1.2,0.5,1.5,10.2,finnedo01
62,Evan Fournier,5,34.2,.456,.706,4.0,2.6,1.2,0.6,1.8,12.8,fournev01
63,Michael Frazier,4,3.0,.375,,1.0,0.5,0.0,0.0,0.3,0.8,frazimi01
64,Enes Freedom,11,9.3,.536,.500,3.9,0.6,0.0,0.0,0.4,4.5,kanteen01
65,Markelle Fultz,5,29.4,.450,.857,2.2,5.2,1.0,0.6,2.6,12.0,fultzma01
66,Wenyen Gabriel,4,13.3,.667,.500,2.5,1.0,0.5,0.5,1.3,5.3,gabriwe01
67,Danilo Gallinari,7,30.3,.481,.967,5.4,1.0,0.7,0.1,2.1,15.0,gallida01
68,Marc Gasol,11,20.7,.430,.733,4.4,2.6,0.5,0.6,1.5,6.0,gasolma01
69,Paul George,13,36.8,.482,.909,6.1,3.8,1.5,0.5,3.1,20.2,georgpa01
70,Shai Gilgeous-Alexander,7,39.9,.511,.957,5.3,4.1,1.0,0.4,2.1,16.3,gilgesh01
71,Rudy Gobert,7,38.6,.649,.524,11.4,1.1,0.6,1.4,1.3,16.9,goberru01
72,Eric Gordon,12,34.2,.491,.875,2.7,3.0,0.8,0.6,2.0,17.3,gordoer01
73,Jerami Grant,19,34.4,.494,.889,3.3,1.3,0.6,0.8,1.3,11.6,grantje01
74,Danny Green,21,25.0,.462,.667,3.1,1.2,1.0,0.8,0.6,8.0,greenda02
75,JaMychal Green,13,17.1,.655,.778,3.8,0.5,0.2,0.2,0.4,6.1,greenja01
76,Javonte Green,1,6.0,.750,,1.0,0.0,0.0,0.0,0.0,3.0,greenja02
77,Jeff Green,12,28.4,.607,.824,5.0,1.6,0.5,0.5,1.3,11.6,greenje02
78,Donta Hall,3,6.7,.600,.250,1.7,0.0,0.0,0.7,0.3,2.3,halldo01
79,Tim Hardaway Jr.,6,34.0,.521,.727,3.5,1.8,0.3,0.0,0.5,17.8,hardati02
80,James Harden,12,37.3,.564,.845,5.6,7.7,1.5,0.8,3.8,29.6,hardeja01
81,Montrezl Harrell,13,18.7,.579,.603,2.9,0.4,0.4,0.5,0.9,10.5,harremo01
82,Gary Harris,14,27.1,.483,.773,2.0,1.7,1.1,0.3,1.5,7.4,harriga01
83,Joe Harris,2,36.0,.674,.500,10.0,1.0,0.5,0.0,1.5,16.5,harrijo01
84,Tobias Harris,4,37.3,.400,.789,9.5,4.0,0.5,0.3,1.3,15.8,harrito02
85,Gordon Hayward,5,31.4,.470,.875,4.0,2.8,1.4,0.4,1.4,10.8,haywago01
86,Tyler Herro,21,33.6,.520,.870,5.1,3.7,0.4,0.1,2.0,16.0,herroty01
87,Mario Hezonja,5,13.6,.455,.750,3.2,1.2,0.6,0.0,0.6,4.6,hezonma01
88,George Hill,10,26.8,.552,.808,2.4,3.1,0.6,0.0,1.6,9.5,hillge01
89,Solomon Hill,7,6.0,.667,,1.0,0.4,0.1,0.0,0.0,1.7,hillso01
90,Jaylen Hoard,3,13.7,.583,,3.0,0.3,0.0,0.0,0.7,4.7,hoardja01
