Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Precious Achiuwa,55,20.7,.521,.702,6.0,0.9,0.6,0.5,1.1,9.2,achiupr01
Steven Adams,42,27.0,.597,.364,11.5,2.3,0.9,1.1,1.9,8.6,adamsst01
Bam Adebayo,75,34.6,.541,.806,9.2,3.2,1.2,0.8,2.5,20.4,adebaba01
Ochai Agbaji,59,20.5,.532,.812,2.1,1.1,0.3,0.3,0.7,7.9,agbajoc01
Santi Aldama,77,21.8,.560,.750,4.8,1.3,0.6,0.6,0.8,9.0,aldamsa01
Nickeil Alexander-Walker,59,15.0,.547,.667,1.7,1.8,0.5,0.4,0.9,6.2,alexani01
Nickeil Alexander-Walker,36,14.7,.591,.692,1.6,2.1,0.7,0.4,1.3,6.3,alexani01
Nickeil Alexander-Walker,23,15.5,.488,.619,1.8,1.4,0.3,0.3,0.4,5.9,alexani01
Grayson Allen,72,27.4,.571,.905,3.3,2.3,0.9,0.2,1.0,10.4,allengr01
Jarrett Allen,68,32.6,.645,.733,9.8,1.7,0.8,1.2,1.4,14.3,allenja01
Jose Alvarado,61,21.5,.496,.813,2.3,3.0,1.1,0.2,1.3,9.0,alvarjo01
Kyle Anderson,69,28.4,.553,.735,5.3,4.9,1.1,0.9,1.5,9.4,anderky01
Giannis Antetokounmpo,63,32.1,.572,.645,11.8,5.7,0.8,0.8,3.9,31.1,antetgi01
Thanasis Antetokounmpo,37,5.6,.435,.500,1.2,0.4,0.1,0.1,0.3,1.4,antetth01
Cole Anthony,60,25.9,.516,.894,4.8,3.9,0.6,0.5,1.5,13.0,anthoco01
OG Anunoby,67,35.6,.556,.838,5.0,2.0,1.9,0.7,2.0,16.8,anunoog01
Ryan Arcidiacono,20,8.6,.351,,0.8,1.2,0.3,0.0,0.4,1.3,arcidry01
Ryan Arcidiacono,11,2.4,.300,,0.4,0.2,0.2,0.0,0.1,0.3,arcidry01
Ryan Arcidiacono,9,16.2,.359,,1.2,2.3,0.3,0.0,0.7,2.6,arcidry01
Deni Avdija,76,26.6,.497,.739,6.4,2.8,0.9,0.4,1.6,9.2,avdijde01
Deandre Ayton,67,30.4,.592,.760,10.0,1.7,0.6,0.8,1.8,18.0,aytonde01
Udoka Azubuike,36,10.0,.819,.350,3.3,0.3,0.2,0.4,0.5,3.5,azubuud01
Marvin Bagley III,42,23.6,.554,.750,6.4,0.9,0.5,0.7,1.1,12.0,baglema01
Patrick Baldwin Jr.,31,7.3,.541,.667,1.3,0.4,0.2,0.1,0.4,3.9,baldwpa01
LaMelo Ball,36,35.2,.510,.836,6.4,8.4,1.3,0.3,3.6,23.3,ballla01
