Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Quincy Acy,63,13.4,.482,.660,3.4,0.4,0.4,0.4,0.5,2.7,acyqu01
1,Quincy Acy,7,8.7,.500,.625,2.1,0.6,0.6,0.4,0.3,2.7,acyqu01
1,Quincy Acy,56,14.0,.480,.667,3.6,0.4,0.3,0.4,0.5,2.7,acyqu01
2,Steven Adams,81,14.8,.503,.581,4.1,0.5,0.5,0.7,0.9,3.3,adamsst01
3,Jeff Adrien,53,18.1,.520,.639,5.8,0.7,0.5,0.7,0.7,6.8,adrieje01
3,Jeff Adrien,25,10.2,.550,.520,3.5,0.3,0.3,0.6,0.3,2.3,adrieje01
3,Jeff Adrien,28,25.2,.515,.670,7.8,1.1,0.6,0.8,1.1,10.9,adrieje01
4,Arron Afflalo,73,35.0,.522,.815,3.6,3.4,0.5,0.0,2.0,18.2,afflaar01
5,Alexis Ajinça,56,17.0,.546,.836,4.9,0.7,0.4,0.8,1.1,5.9,ajincal01
6,Cole Aldrich,46,7.2,.541,.867,2.8,0.3,0.2,0.7,0.4,2.0,aldrico01
7,LaMarcus Aldridge,69,36.2,.459,.822,11.1,2.6,0.9,1.0,1.8,23.2,aldrila01
8,Lavoy Allen,65,16.5,.450,.660,4.8,1.1,0.4,0.5,0.7,4.7,allenla01
8,Lavoy Allen,51,18.8,.444,.675,5.4,1.3,0.4,0.5,0.8,5.2,allenla01
8,Lavoy Allen,14,8.0,.500,.600,2.4,0.4,0.1,0.4,0.3,2.9,allenla01
9,Ray Allen*,73,26.5,.549,.905,2.8,2.0,0.7,0.1,1.2,9.6,allenra02
10,Tony Allen,55,23.2,.507,.628,3.8,1.7,1.6,0.3,1.6,9.0,allento01
11,Al-Farouq Aminu,80,25.6,.487,.664,6.2,1.4,1.0,0.5,1.1,7.2,aminual01
12,Lou Amundson,19,9.7,.500,.250,2.9,0.3,0.5,0.6,0.7,2.0,amundlo01
12,Lou Amundson,18,10.2,.500,.250,3.1,0.3,0.5,0.6,0.8,2.1,amundlo01
12,Lou Amundson,1,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,amundlo01
13,Chris Andersen,72,19.4,.649,.710,5.3,0.3,0.4,1.3,0.7,6.6,anderch01
14,Alan Anderson,78,22.7,.487,.780,2.2,1.0,0.6,0.1,0.8,7.2,anderal01
15,James Anderson,80,28.9,.511,.726,3.8,1.9,0.9,0.4,1.3,10.1,anderja01
16,Ryan Anderson,22,36.1,.532,.952,6.5,0.8,0.5,0.3,0.9,19.8,anderry01
17,Giannis Antetokounmpo,77,24.6,.463,.683,4.4,1.9,0.8,0.8,1.6,6.8,antetgi01
18,Carmelo Anthony,77,38.7,.503,.848,8.1,3.1,1.2,0.7,2.6,27.4,anthoca01
19,Joel Anthony,33,5.6,.375,.500,1.2,0.1,0.1,0.4,0.1,0.8,anthojo01
19,Joel Anthony,12,3.1,.333,1.000,0.6,0.0,0.0,0.3,0.1,0.5,anthojo01
19,Joel Anthony,21,7.1,.385,.333,1.5,0.1,0.1,0.4,0.1,1.0,anthojo01
20,Pero Antić,50,18.5,.514,.758,4.2,1.2,0.4,0.2,1.1,7.0,anticpe01
21,Trevor Ariza,77,35.4,.562,.772,6.2,2.5,1.6,0.3,1.7,14.4,arizatr01
22,Hilton Armstrong,15,6.5,.474,.438,3.1,0.3,0.3,0.3,0.4,1.7,armsthi01
23,Darrell Arthur,68,17.1,.424,.855,3.1,0.9,0.6,0.7,0.9,5.9,arthuda01
24,Ömer Aşık,48,20.2,.532,.619,7.9,0.5,0.3,0.8,1.2,5.8,asikom01
25,D.J. Augustin,71,27.3,.508,.885,1.8,4.4,0.7,0.0,1.8,13.1,augusdj01
25,D.J. Augustin,10,8.2,.313,1.000,0.4,1.0,0.1,0.0,0.9,2.1,augusdj01
25,D.J. Augustin,61,30.4,.514,.882,2.1,5.0,0.9,0.0,1.9,14.9,augusdj01
26,Gustavo Ayón,26,16.5,.510,.400,4.8,1.1,1.0,0.4,1.1,4.3,ayongu01
27,Jeff Ayres,73,13.0,.580,.691,3.5,0.8,0.2,0.3,0.9,3.3,pendeje02
28,Chris Babb,14,9.4,.367,,1.2,0.2,0.4,0.0,0.2,1.6,babbch01
29,Luke Babbitt,27,17.5,.506,.778,3.3,1.1,0.3,0.4,0.6,6.3,babbilu01
30,Leandro Barbosa,20,18.4,.454,.795,1.9,1.6,0.4,0.2,1.0,7.5,barbole01
31,J.J. Barea,79,18.6,.443,.790,1.9,3.8,0.3,0.0,1.6,8.4,bareajo01
32,Andrea Bargnani,42,29.9,.472,.824,5.3,1.1,0.3,1.2,1.4,13.3,bargnan01
33,Harrison Barnes,78,28.3,.448,.718,4.0,1.5,0.8,0.3,1.1,9.5,barneha02
34,Matt Barnes,63,27.5,.530,.733,4.6,2.0,0.9,0.4,1.3,9.9,barnema02
35,Will Barton,41,9.4,.449,.813,1.8,0.8,0.2,0.2,0.4,4.0,bartowi01
36,Brandon Bass,82,27.6,.487,.858,5.7,1.1,0.4,0.9,1.2,11.1,bassbr01
