Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Álex Abrines,5,16.0,.457,.750,1.8,0.8,0.0,0.0,0.0,4.8,abrinal01
2,Steven Adams,5,31.4,.643,.364,6.8,1.4,1.2,1.8,0.8,8.0,adamsst01
3,LaMarcus Aldridge,16,33.6,.463,.764,7.4,1.5,0.6,1.0,1.8,16.5,aldrila01
4,Lavoy Allen,3,3.7,,,0.7,0.0,0.0,0.0,0.3,0.0,allenla01
5,Al-Farouq Aminu,4,28.3,.554,.636,6.5,1.0,0.8,1.0,2.3,12.0,aminual01
6,Kyle Anderson,15,13.0,.586,.727,3.1,1.7,0.7,0.1,0.5,5.5,anderky01
7,Ryan Anderson,11,30.5,.484,.875,5.2,0.6,0.4,0.2,0.8,9.4,anderry01
8,Giannis Antetokounmpo,6,40.5,.554,.543,9.5,4.0,2.2,1.7,3.3,24.8,antetgi01
9,Joel Anthony,3,5.0,.750,.000,1.3,0.0,0.0,0.7,0.3,2.0,anthojo01
10,Trevor Ariza,11,37.5,.541,.929,5.1,2.1,1.3,0.2,0.8,10.7,arizatr01
11,Wade Baldwin,3,4.0,.000,1.000,1.3,0.7,0.0,0.0,0.0,0.7,baldwwa01
12,Matt Barnes,12,5.1,.300,,0.8,0.6,0.2,0.0,0.3,0.8,barnema02
13,Brandon Bass,1,4.0,.333,,1.0,0.0,1.0,0.0,0.0,2.0,bassbr01
14,Kent Bazemore,6,25.0,.462,.714,3.8,3.3,0.7,0.8,2.7,9.8,bazemke01
15,Bradley Beal,13,38.8,.527,.820,3.4,2.7,1.6,0.6,2.1,24.8,bealbr01
16,Michael Beasley,4,12.0,.425,.000,2.3,0.3,0.3,0.3,0.5,4.3,beaslmi01
17,Dāvis Bertāns,13,8.6,.593,.667,1.5,0.2,0.2,0.3,0.5,2.8,bertada01
18,Patrick Beverley,11,29.5,.509,.786,5.5,3.0,1.5,0.2,1.6,11.1,beverpa01
19,Bojan Bogdanović,13,20.3,.506,.844,4.3,0.7,0.5,0.1,0.6,8.8,bogdabo02
20,Joel Bolomboy,2,4.5,.667,,1.0,0.0,0.0,0.5,0.0,2.0,bolomjo01
21,Avery Bradley,18,35.8,.515,.778,3.9,2.3,1.3,0.2,1.7,16.7,bradlav01
22,Malcolm Brogdon,6,30.5,.491,,4.3,3.5,0.5,0.3,2.0,9.0,brogdma01
23,Aaron Brooks,1,7.0,.833,,1.0,1.0,0.0,0.0,1.0,5.0,brookaa01
24,Bobby Brown,5,4.4,.625,,0.4,0.2,0.0,0.0,0.0,5.0,brownbo02
25,Jaylen Brown,17,12.6,.514,.667,2.1,0.8,0.4,0.1,0.8,5.0,brownja02
26,Trey Burke,3,6.7,.000,,0.0,1.7,0.0,0.0,0.0,0.0,burketr01
27,Jimmy Butler,6,39.8,.454,.809,7.3,4.3,1.7,0.8,2.5,22.7,butleji01
28,José Calderón,6,12.5,.565,,1.3,2.2,0.3,0.2,0.7,4.3,caldejo01
29,Isaiah Canaan,3,31.7,.596,.667,1.3,1.3,1.0,0.0,1.7,11.7,canaais01
30,Clint Capela,11,26.0,.561,.615,8.7,1.1,0.7,2.5,0.7,10.5,capelca01
31,DeMarre Carroll,10,15.5,.500,.556,2.7,0.5,0.8,0.5,0.5,4.2,carrode01
32,Vince Carter,6,32.5,.571,1.000,3.3,1.5,0.3,0.0,1.7,9.2,cartevi01
33,Michael Carter-Williams,5,10.6,.400,.500,0.8,1.2,0.4,0.2,1.2,2.8,cartemi01
34,Semaj Christon,2,10.5,.500,,1.5,2.5,0.5,0.0,0.0,2.5,chrisse01
35,Ian Clark,16,13.7,.589,.941,1.6,0.7,0.4,0.0,0.7,6.8,clarkia01
36,Norris Cole,4,6.3,.313,,0.3,0.3,0.0,0.3,0.5,1.3,coleno01
37,Mike Conley,6,37.3,.568,.838,3.3,7.0,1.7,0.5,2.0,24.7,conlemi01
38,Pat Connaughton,3,8.0,.222,1.000,2.3,1.3,0.0,0.0,0.0,2.3,connapa01
39,Allen Crabbe,4,23.0,.438,.333,3.0,0.5,0.3,0.0,0.3,5.5,crabbal01
40,Jamal Crawford,7,28.0,.458,1.000,1.3,1.9,0.6,0.1,1.3,12.6,crawfja01
41,Jae Crowder,18,33.1,.513,.833,6.4,2.7,1.1,0.3,0.7,13.6,crowdja01
