Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Álex Abrines,75,15.1,.540,.848,1.5,0.4,0.5,0.1,0.3,4.7,abrinal01
2,Quincy Acy,70,19.4,.496,.817,3.7,0.8,0.5,0.4,0.9,5.9,acyqu01
3,Steven Adams,76,32.7,.629,.559,9.0,1.2,1.2,1.0,1.7,13.9,adamsst01
4,Bam Adebayo,69,19.8,.512,.721,5.5,1.5,0.5,0.6,1.0,6.9,adebaba01
5,Arron Afflalo,53,12.9,.485,.846,1.2,0.6,0.1,0.2,0.4,3.4,afflaar01
6,Cole Aldrich,21,2.3,.333,.333,0.7,0.1,0.1,0.0,0.0,0.6,aldrico01
7,LaMarcus Aldridge,75,33.5,.520,.837,8.5,2.0,0.6,1.2,1.5,23.1,aldrila01
8,Jarrett Allen,72,20.0,.596,.776,5.4,0.7,0.4,1.2,1.1,8.2,allenja01
9,Kadeem Allen,18,5.9,.273,.778,0.6,0.7,0.2,0.1,0.5,1.1,allenka01
10,Tony Allen,22,12.4,.505,.524,2.1,0.4,0.5,0.1,0.9,4.7,allento01
11,Al-Farouq Aminu,69,30.0,.503,.738,7.6,1.2,1.1,0.6,1.1,9.3,aminual01
12,Justin Anderson,38,13.7,.515,.737,2.4,0.7,0.4,0.2,0.4,6.2,anderju01
13,Kyle Anderson,74,26.7,.549,.712,5.4,2.7,1.6,0.8,1.3,7.9,anderky01
14,Ryan Anderson,66,26.1,.568,.774,5.0,0.9,0.4,0.3,0.6,9.3,anderry01
15,Ike Anigbogu,11,2.7,.444,.833,0.8,0.0,0.1,0.3,0.2,1.2,anigbik01
16,Giannis Antetokounmpo,75,36.7,.545,.760,10.0,4.8,1.5,1.4,3.0,26.9,antetgi01
17,Carmelo Anthony,78,32.1,.476,.767,5.8,1.3,0.6,0.6,1.3,16.2,anthoca01
18,OG Anunoby,74,20.0,.577,.629,2.5,0.7,0.7,0.2,0.6,5.9,anunoog01
19,Ryan Arcidiacono,24,12.7,.524,.833,1.0,1.5,0.5,0.0,0.5,2.0,arcidry01
20,Trevor Ariza,67,33.9,.542,.854,4.4,1.6,1.5,0.2,0.8,11.7,arizatr01
21,Darrell Arthur,19,7.4,.553,.667,0.8,0.5,0.4,0.2,0.8,2.8,arthuda01
22,Jamel Artis,15,18.6,.443,.583,2.5,1.2,0.1,0.2,0.5,5.1,artisja01
23,Ömer Aşık,18,10.1,.409,.308,2.6,0.2,0.1,0.2,0.5,1.2,asikom01
23,Ömer Aşık,14,8.6,.438,.333,2.6,0.1,0.1,0.1,0.4,1.3,asikom01
23,Ömer Aşık,4,15.3,.333,.000,2.5,0.3,0.3,0.5,1.0,1.0,asikom01
24,D.J. Augustin,75,23.5,.557,.868,2.1,3.8,0.7,0.0,1.6,10.2,augusdj01
25,Luke Babbitt,50,14.3,.563,.773,1.9,0.6,0.2,0.1,0.4,5.2,babbilu01
25,Luke Babbitt,37,15.4,.622,.773,2.2,0.7,0.2,0.1,0.4,6.1,babbilu01
25,Luke Babbitt,13,11.2,.351,,1.2,0.4,0.1,0.2,0.3,2.5,babbilu01
26,Dwayne Bacon,53,13.5,.404,.800,2.3,0.7,0.3,0.0,0.4,3.3,bacondw01
27,Ron Baker,29,13.3,.432,.769,1.0,1.6,0.9,0.2,0.6,2.4,bakerro01
28,Wade Baldwin,7,11.4,.762,.600,1.1,0.7,0.3,0.1,0.6,5.4,baldwwa01
