Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Álex Abrines,68,15.5,.531,.898,1.3,0.6,0.5,0.1,0.5,6.0,abrinal01
2,Quincy Acy,38,14.7,.521,.750,3.0,0.5,0.4,0.4,0.6,5.8,acyqu01
2,Quincy Acy,6,8.0,.324,.667,1.3,0.0,0.0,0.0,0.3,2.2,acyqu01
2,Quincy Acy,32,15.9,.542,.754,3.3,0.6,0.4,0.5,0.6,6.5,acyqu01
3,Steven Adams,80,29.9,.571,.611,7.7,1.1,1.1,1.0,1.8,11.3,adamsst01
4,Arron Afflalo,61,25.9,.514,.892,2.0,1.3,0.3,0.1,0.7,8.4,afflaar01
5,Alexis Ajinça,39,15.0,.500,.725,4.5,0.3,0.5,0.6,0.8,5.3,ajincal01
6,Cole Aldrich,62,8.6,.523,.682,2.5,0.4,0.4,0.4,0.3,1.7,aldrico01
7,LaMarcus Aldridge,72,32.4,.488,.812,7.3,1.9,0.6,1.2,1.4,17.3,aldrila01
8,Lavoy Allen,61,14.3,.458,.697,3.6,0.9,0.3,0.4,0.5,2.9,allenla01
9,Tony Allen,71,27.0,.473,.615,5.5,1.4,1.6,0.4,1.4,9.1,allento01
10,Al-Farouq Aminu,61,29.1,.468,.706,7.4,1.6,1.0,0.7,1.5,8.7,aminual01
11,Chris Andersen,12,9.5,.409,.714,2.6,0.4,0.4,0.6,0.4,2.3,anderch01
12,Alan Anderson,30,10.3,.463,.750,0.8,0.4,0.1,0.0,0.2,2.9,anderal01
13,Justin Anderson,75,16.4,.490,.791,3.3,0.9,0.5,0.3,0.9,7.1,anderju01
13,Justin Anderson,51,13.9,.468,.795,2.9,0.6,0.5,0.3,0.8,6.5,anderju01
13,Justin Anderson,24,21.6,.528,.780,4.0,1.4,0.5,0.3,1.1,8.5,anderju01
14,Kyle Anderson,72,14.2,.481,.789,2.9,1.3,0.7,0.4,0.5,3.4,anderky01
15,Ryan Anderson,72,29.4,.550,.860,4.6,0.9,0.4,0.2,0.8,13.6,anderry01
16,Giannis Antetokounmpo,80,35.6,.541,.770,8.8,5.4,1.6,1.9,2.9,22.9,antetgi01
17,Carmelo Anthony,74,34.3,.488,.833,5.9,2.9,0.8,0.5,2.1,22.4,anthoca01
18,Joel Anthony,19,6.4,.625,.625,1.6,0.2,0.1,0.3,0.2,1.3,anthojo01
19,Trevor Ariza,80,34.7,.528,.738,5.7,2.2,1.8,0.3,0.9,11.7,arizatr01
20,Darrell Arthur,41,15.6,.565,.864,2.7,1.0,0.5,0.5,0.9,6.4,arthuda01
21,Ömer Aşık,31,15.5,.477,.590,5.3,0.5,0.2,0.3,0.5,2.7,asikom01
22,D.J. Augustin,78,19.7,.469,.814,1.5,2.7,0.4,0.0,1.2,7.9,augusdj01
23,Luke Babbitt,68,15.7,.557,.733,2.1,0.5,0.3,0.2,0.4,4.8,babbilu01
24,Ron Baker,52,16.5,.431,.651,1.9,2.1,0.7,0.2,1.1,4.1,bakerro01
25,Wade Baldwin,33,12.3,.326,.838,1.4,1.8,0.5,0.2,1.2,3.2,baldwwa01
26,Leandro Barbosa,67,14.4,.483,.889,1.6,1.2,0.5,0.1,0.7,6.3,barbole01
27,J.J. Barea,35,22.0,.491,.863,2.4,5.5,0.4,0.0,1.8,10.9,bareajo01
28,Harrison Barnes,79,35.5,.498,.861,5.0,1.5,0.8,0.2,1.3,19.2,barneha02
29,Matt Barnes,74,24.0,.483,.787,5.2,2.6,0.6,0.4,1.4,7.1,barnema02
29,Matt Barnes,54,25.3,.474,.758,5.4,2.8,0.7,0.3,1.5,7.6,barnema02
29,Matt Barnes,20,20.5,.522,.870,4.6,2.3,0.6,0.5,1.2,5.7,barnema02
30,Will Barton,60,28.4,.508,.753,4.3,3.4,0.8,0.5,1.6,13.7,bartowi01
31,Brandon Bass,52,11.1,.578,.875,2.5,0.4,0.3,0.2,0.6,5.6,bassbr01
32,Nicolas Batum,77,34.0,.472,.856,6.2,5.9,1.1,0.4,2.5,15.1,batumni01
33,Jerryd Bayless,3,23.7,.375,.900,4.0,4.3,0.0,0.0,3.0,11.0,bayleje01
34,Aron Baynes,75,15.5,.513,.840,4.4,0.4,0.2,0.5,0.7,4.9,baynear01
35,Kent Bazemore,73,26.9,.473,.708,3.2,2.4,1.2,0.7,1.7,11.0,bazemke01
36,Bradley Beal,77,34.9,.566,.825,3.1,3.5,1.1,0.3,2.0,23.1,bealbr01
37,Malik Beasley,22,7.5,.514,.800,0.8,0.5,0.3,0.0,0.4,3.8,beaslma01
38,Michael Beasley,56,16.7,.554,.743,3.4,0.9,0.5,0.5,1.2,9.4,beaslmi01
39,Marco Belinelli,74,24.0,.512,.893,2.4,2.0,0.6,0.1,0.9,10.5,belinma01
40,DeAndre' Bembry,38,9.8,.485,.375,1.6,0.7,0.2,0.1,0.4,2.7,bembrde01
41,Dragan Bender,43,13.3,.441,.364,2.4,0.5,0.2,0.5,0.7,3.4,bendedr01
42,Anthony Bennett,23,11.5,.484,.722,3.4,0.5,0.2,0.1,0.5,5.0,bennean01
43,Ben Bentil,3,3.3,.000,,0.7,0.0,0.0,0.0,0.3,0.0,bentibe01
44,Dāvis Bertāns,67,12.1,.588,.824,1.5,0.7,0.3,0.4,0.5,4.5,bertada01
45,Patrick Beverley,67,30.7,.521,.768,5.9,4.2,1.5,0.4,1.5,9.5,beverpa01
46,Bismack Biyombo,81,22.1,.528,.534,7.0,0.9,0.3,1.1,1.2,6.0,biyombi01
47,Nemanja Bjelica,65,18.3,.503,.738,3.8,1.2,0.6,0.3,0.9,6.2,bjeline01
48,Tarik Black,67,16.3,.512,.752,5.1,0.6,0.4,0.7,0.9,5.7,blackta01
49,Eric Bledsoe,66,33.0,.485,.847,4.8,6.3,1.4,0.5,3.4,21.1,bledser01
50,Bojan Bogdanović,81,25.7,.530,.893,3.4,1.4,0.4,0.1,1.6,13.7,bogdabo02
50,Bojan Bogdanović,55,26.9,.521,.874,3.6,1.6,0.4,0.1,1.7,14.2,bogdabo02
50,Bojan Bogdanović,26,23.1,.553,.934,3.1,0.8,0.4,0.2,1.5,12.7,bogdabo02
51,Andrew Bogut,27,21.6,.469,.273,8.1,1.8,0.5,0.9,1.6,2.9,bogutan01
51,Andrew Bogut,26,22.4,.469,.273,8.4,1.9,0.5,1.0,1.7,3.0,bogutan01
51,Andrew Bogut,1,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,bogutan01
52,Joel Bolomboy,12,4.4,.594,.500,1.4,0.2,0.1,0.2,0.2,1.8,bolomjo01
53,Devin Booker,78,35.0,.475,.832,3.2,3.4,0.9,0.3,3.1,22.1,bookede01
54,Trevor Booker,71,24.7,.537,.673,8.0,1.9,1.1,0.4,1.8,10.0,booketr01
55,Avery Bradley,55,33.4,.533,.731,6.1,2.2,1.2,0.2,1.6,16.3,bradlav01
56,Corey Brewer,82,15.6,.461,.735,2.0,1.2,0.7,0.2,0.7,4.5,breweco01
56,Corey Brewer,58,15.9,.463,.727,2.0,1.1,0.6,0.2,0.6,4.2,breweco01
56,Corey Brewer,24,14.9,.459,.750,2.2,1.5,1.0,0.3,0.8,5.4,breweco01
57,Malcolm Brogdon,75,26.4,.518,.865,2.8,4.2,1.1,0.2,1.5,10.2,brogdma01
58,Aaron Brooks,65,13.8,.483,.800,1.1,1.9,0.4,0.1,1.0,5.0,brookaa01
59,Anthony Brown,11,14.5,.430,,3.0,0.7,0.5,0.1,0.5,3.9,brownan02
59,Anthony Brown,9,15.9,.415,,2.9,0.7,0.6,0.1,0.6,3.8,brownan02
59,Anthony Brown,2,8.0,.500,,3.5,1.0,0.0,0.0,0.5,4.5,brownan02
60,Bobby Brown,25,4.9,.500,1.000,0.2,0.6,0.0,0.0,0.2,2.5,brownbo02
61,Jaylen Brown,78,17.2,.508,.685,2.8,0.8,0.4,0.2,0.9,6.6,brownja02
62,Nicolás Brussino,54,9.6,.472,.773,1.8,0.9,0.3,0.1,0.5,2.8,brussni01
63,Reggie Bullock,31,15.1,.531,.714,2.1,0.9,0.6,0.1,0.3,4.5,bullore01
