Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Steven Adams,5,31.8,.667,.375,7.2,1.4,1.0,1.0,1.8,11.8,adamsst01
2,LaMarcus Aldridge,7,34.9,.467,.818,9.6,2.7,0.7,1.0,1.0,20.0,aldrila01
3,Grayson Allen,2,7.0,.286,.714,0.5,0.0,0.0,0.0,0.0,4.5,allengr01
4,Jarrett Allen,5,22.0,.594,.850,6.8,2.2,0.6,0.6,1.6,11.0,allenja01
5,Al-Farouq Aminu,16,24.9,.417,.750,6.3,1.3,0.6,0.6,1.0,7.4,aminual01
6,Giannis Antetokounmpo,15,34.3,.527,.637,12.3,4.9,1.1,2.0,3.3,25.5,antetgi01
7,D.J. Augustin,5,28.2,.610,.875,1.6,3.8,0.4,0.2,1.4,12.8,augusdj01
8,Will Barton,14,23.4,.404,.692,4.8,1.7,0.3,0.6,0.9,9.1,bartowi01
9,Aron Baynes,9,12.8,.643,.500,2.8,0.3,0.3,0.3,0.6,2.1,baynear01
10,Malik Beasley,14,20.1,.489,.710,3.4,1.0,0.2,0.1,0.5,8.1,beaslma01
11,Marco Belinelli,7,18.7,.474,.833,1.9,1.1,0.0,0.3,0.3,5.9,belinma01
12,Jordan Bell,15,7.1,.548,.700,1.3,0.7,0.3,0.5,0.1,2.7,belljo01
13,Dāvis Bertāns,5,15.8,.433,.600,1.6,1.0,0.0,0.2,0.2,3.2,bertada01
14,Patrick Beverley,6,32.5,.564,.750,8.0,4.7,1.0,1.0,1.7,9.8,beverpa01
15,Khem Birch,5,18.4,.556,.857,6.2,0.8,0.2,1.0,1.2,5.2,birchkh01
16,Eric Bledsoe,15,28.2,.457,.706,3.7,4.3,1.1,0.4,2.2,13.7,bledser01
17,Bojan Bogdanović,4,37.0,.452,.882,5.8,2.8,2.0,0.0,1.5,18.0,bogdabo02
18,Andrew Bogut,19,9.4,.649,.800,3.9,1.1,0.3,0.3,0.5,2.7,bogutan01
19,Jonah Bolden,10,7.9,.368,.500,1.4,0.3,0.2,0.1,0.9,1.6,boldejo01
20,Chris Boucher,2,2.0,.500,.000,0.5,0.0,0.0,0.5,0.0,2.5,bouchch01
21,Malcolm Brogdon,7,28.3,.538,.636,4.9,3.4,0.7,0.1,1.4,13.0,brogdma01
22,Bruce Brown,4,14.3,.393,1.000,2.0,0.5,0.5,0.3,0.5,3.3,brownbr01
23,Jaylen Brown,9,30.4,.586,.767,5.8,1.1,0.7,0.2,1.7,13.9,brownja02
24,Sterling Brown,11,14.7,.487,.727,2.7,1.7,0.5,0.3,0.7,4.1,brownst02
25,Deonte Burton,3,1.3,.200,,0.7,0.0,0.0,0.0,0.0,0.7,burtode02
26,Jimmy Butler,12,35.1,.486,.875,6.1,5.2,1.4,0.6,1.8,19.4,butleji01
27,José Calderón,3,3.3,,,0.0,1.7,0.3,0.0,0.0,0.0,caldejo01
28,Clint Capela,11,30.1,.561,.429,10.3,1.5,0.3,1.1,1.5,9.7,capelca01
29,DeMarre Carroll,5,23.8,.329,1.000,4.0,0.4,0.8,0.0,0.6,6.6,carrode01
30,Michael Carter-Williams,5,18.4,.419,.875,4.0,2.4,0.6,0.0,1.6,6.6,cartemi01
31,Wilson Chandler,4,13.0,.344,1.000,1.5,0.5,0.5,0.0,0.8,3.8,chandwi01
32,Gary Clark,2,2.0,,,0.5,0.0,0.0,0.0,0.0,0.0,clarkga01
33,Zach Collins,16,17.2,.549,.800,3.6,0.9,0.4,1.4,1.3,6.8,colliza01
34,Darren Collison,4,29.3,.467,1.000,3.0,4.0,0.5,0.0,2.5,12.0,collida01
35,Pat Connaughton,15,21.6,.578,.500,6.2,1.4,0.4,0.9,0.5,6.2,connapa01
36,Quinn Cook,17,11.4,.479,1.000,1.1,0.7,0.2,0.1,0.4,4.2,cookqu01
37,DeMarcus Cousins,8,16.6,.425,.640,4.9,2.4,0.6,0.8,2.4,7.6,couside01
38,Torrey Craig,14,23.6,.601,.563,5.1,0.9,0.5,0.4,0.4,6.6,craigto01
39,Jae Crowder,5,26.0,.467,.737,5.8,0.8,1.0,0.0,0.2,11.4,crowdja01
40,Dante Cunningham,5,2.6,1.000,,1.2,0.0,0.0,0.0,0.0,1.2,cunnida01
41,Seth Curry,16,20.4,.494,.818,1.6,0.8,0.8,0.3,0.4,5.6,curryse01
42,Stephen Curry,22,38.5,.548,.943,6.0,5.7,1.1,0.2,3.0,28.2,curryst01
43,Ed Davis,3,13.7,.700,1.000,6.3,0.7,0.0,0.3,0.0,5.3,davised01
44,DeMar DeRozan,7,35.9,.487,.864,6.7,4.6,1.1,0.1,1.7,22.0,derozde01
45,Spencer Dinwiddie,5,26.2,.508,.714,2.6,1.6,0.4,0.0,1.6,14.6,dinwisp01
46,Andre Drummond,4,31.8,.444,.429,13.0,2.3,1.5,1.3,2.8,14.3,drumman01
47,Jared Dudley,4,20.5,.364,1.000,0.5,2.8,0.8,0.3,1.0,3.0,dudleja01
48,Kevin Durant,12,36.8,.586,.903,4.9,4.5,1.1,1.0,3.6,32.3,duranke01
49,Wayne Ellington,4,32.8,.414,1.000,3.8,1.3,0.8,0.0,0.5,7.8,ellinwa01
50,Joel Embiid,11,30.4,.465,.822,10.5,3.4,0.7,2.3,3.6,20.2,embiijo01
51,James Ennis III,11,21.1,.555,.632,3.8,1.1,0.4,0.3,0.9,7.5,ennisja01
52,Jacob Evans,7,2.6,.500,,0.1,0.1,0.0,0.0,0.3,0.7,evansja02
53,Tyreke Evans,4,21.0,.552,.571,4.3,0.8,0.5,0.3,1.5,15.3,evansty01
54,Kenneth Faried,6,9.3,.731,.833,3.5,0.3,0.3,0.0,0.0,4.0,farieke01
55,Derrick Favors,5,20.6,.639,.684,7.4,0.8,0.8,1.8,1.0,11.8,favorde01
56,Raymond Felton,5,11.4,.385,.500,0.6,0.6,0.8,0.2,0.4,2.2,feltora01
57,Terrance Ferguson,5,25.6,.500,,2.4,1.2,0.4,0.0,1.0,5.0,fergute01
58,Bryn Forbes,7,30.3,.616,.667,3.6,1.0,0.1,0.1,0.4,10.7,forbebr01
59,Evan Fournier,5,35.0,.406,.750,3.2,2.0,1.4,0.0,2.4,12.4,fournev01
60,Melvin Frazier,3,5.0,.400,.500,1.3,0.0,0.3,0.0,0.0,1.7,frazime01
61,Tim Frazier,11,3.6,.731,1.000,0.8,0.9,0.1,0.0,0.3,1.9,fraziti01
62,Enes Freedom,16,28.8,.517,.756,9.7,1.2,0.7,0.6,1.6,11.4,kanteen01
63,Danilo Gallinari,6,33.5,.410,.848,6.2,2.7,1.3,0.2,1.8,19.8,gallida01
64,Langston Galloway,4,27.5,.456,,3.8,1.0,0.5,1.0,0.5,7.8,gallola01
65,Marc Gasol,24,30.6,.517,.870,6.4,3.0,0.9,1.1,0.9,9.4,gasolma01
66,Rudy Gay,7,25.6,.457,.824,7.1,1.7,0.4,0.7,1.4,11.1,gayru01
67,Paul George,5,40.8,.510,.816,8.6,3.6,1.4,0.2,4.0,28.6,georgpa01
68,Shai Gilgeous-Alexander,6,28.8,.542,.850,2.7,3.2,1.0,0.8,0.8,13.7,gilgesh01
69,Rudy Gobert,5,30.4,.594,.783,10.2,1.4,0.6,2.6,1.8,11.2,goberru01
70,Aaron Gordon,5,32.8,.532,.526,7.2,3.6,1.2,0.2,2.6,15.2,gordoaa01
71,Eric Gordon,11,37.3,.573,.857,2.5,1.3,0.6,1.0,2.5,17.8,gordoer01
72,Treveon Graham,5,15.8,.200,.500,2.2,0.6,0.4,0.2,0.6,1.4,grahatr01
73,Jerami Grant,5,35.2,.613,.692,5.6,0.8,0.6,2.0,0.8,11.6,grantje01
74,Jerian Grant,3,4.7,.200,1.000,1.3,1.0,0.0,0.0,0.3,1.7,grantje02
75,Danny Green,24,28.5,.468,.913,3.6,1.1,1.3,0.5,1.1,6.9,greenda02
76,Draymond Green,22,38.7,.526,.718,10.1,8.5,1.5,1.5,3.8,13.3,greendr01
77,Gerald Green,11,8.8,.425,1.000,1.1,0.1,0.3,0.3,0.3,3.5,greenge01
78,JaMychal Green,6,23.5,.674,.800,5.3,0.8,0.7,0.0,1.8,11.0,greenja01
79,Blake Griffin,2,29.0,.538,1.000,6.0,6.0,1.0,0.0,3.0,24.5,griffbl01
80,James Harden,11,38.5,.504,.837,6.9,6.6,2.2,0.9,4.6,31.6,hardeja01
81,Maurice Harkless,16,24.3,.509,.639,4.9,1.4,1.1,1.0,1.1,8.4,harklma01
82,Montrezl Harrell,6,26.3,.730,.692,5.5,2.2,0.5,0.7,1.3,18.3,harremo01
83,Gary Harris,14,36.9,.525,.868,4.1,2.3,0.9,0.6,0.8,14.2,harriga01
84,Joe Harris,5,29.8,.419,1.000,4.2,0.6,0.6,0.0,1.8,8.8,harrijo01
85,Tobias Harris,12,36.9,.491,.846,9.1,4.0,1.1,0.5,1.6,15.5,harrito02
86,Isaiah Hartenstein,2,1.0,1.000,,0.5,0.0,0.0,0.0,0.0,2.0,harteis01
87,Gordon Hayward,9,29.7,.479,1.000,4.0,2.4,0.7,0.3,1.7,9.6,haywago01
88,Juancho Hernangómez,5,3.0,.500,,0.6,0.0,0.0,0.0,0.2,0.6,hernaju01
89,Nenê,7,7.6,1.000,.778,2.0,0.4,0.4,0.3,0.4,3.9,hilarne01
90,George Hill,15,26.3,.619,.818,3.5,2.8,0.9,0.3,0.4,11.5,hillge01
91,Aaron Holiday,3,4.3,.500,,0.0,0.0,0.0,0.0,0.3,1.7,holidaa01
92,Rondae Hollis-Jefferson,4,15.5,.500,.800,3.0,1.5,0.3,1.3,0.8,13.3,holliro01
93,Rodney Hood,16,23.3,.550,.818,2.3,0.9,0.4,0.2,0.4,9.9,hoodro01
94,Al Horford,9,34.4,.500,.833,9.0,4.4,0.4,0.8,2.1,13.9,horfoal01
95,Danuel House Jr.,7,20.1,.405,.500,3.1,0.1,0.4,0.3,0.6,4.9,houseda01
96,Serge Ibaka,24,20.8,.500,.762,6.0,0.9,0.5,1.0,1.0,9.4,ibakase01
97,Andre Iguodala,21,30.0,.578,.378,4.3,4.0,1.1,1.1,1.0,9.8,iguodan01
98,Ersan İlyasova,15,18.1,.506,.800,4.7,1.4,0.7,0.4,0.4,6.8,ilyaser01
99,Joe Ingles,5,30.2,.432,,4.8,5.0,2.2,0.0,1.6,6.4,inglejo01
100,Kyrie Irving,9,36.7,.436,.900,4.4,7.0,1.3,0.4,3.1,21.3,irvinky01
