Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Álex Abrines,6,18.3,.550,1.000,2.7,0.3,0.8,0.3,0.2,4.0,abrinal01
2,Steven Adams,6,33.3,.587,.692,7.5,1.5,0.7,0.7,0.7,10.5,adamsst01
3,Bam Adebayo,5,15.4,.467,.214,4.0,0.0,0.0,0.4,0.4,3.4,adebaba01
4,LaMarcus Aldridge,5,35.4,.481,.976,9.2,2.4,0.6,0.4,1.8,23.6,aldrila01
5,Al-Farouq Aminu,4,32.8,.644,1.000,9.0,1.3,1.0,0.5,1.5,17.3,aminual01
6,Justin Anderson,7,4.7,.500,,1.3,0.0,0.1,0.0,0.3,1.1,anderju01
7,Kyle Anderson,5,14.6,.600,.750,2.6,0.6,1.2,0.2,0.6,5.4,anderky01
8,Ryan Anderson,11,8.6,.475,,1.2,0.5,0.3,0.1,0.3,1.7,anderry01
9,Giannis Antetokounmpo,7,40.0,.587,.691,9.6,6.3,1.4,0.9,2.4,25.7,antetgi01
10,Carmelo Anthony,6,32.3,.417,.733,5.7,0.3,1.7,0.7,1.0,11.8,anthoca01
11,OG Anunoby,10,23.8,.683,.727,2.1,0.7,0.6,0.4,0.6,7.9,anunoog01
12,Trevor Ariza,17,34.2,.453,.742,3.8,1.3,1.1,0.1,0.6,8.8,arizatr01
13,Luke Babbitt,2,1.5,.000,,0.0,0.0,0.0,0.0,0.0,0.0,babbilu01
14,Wade Baldwin,4,4.8,.375,.500,0.8,0.8,0.3,0.3,0.8,1.0,baldwwa01
15,Jerryd Bayless,1,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,bayleje01
16,Aron Baynes,19,20.5,.567,.722,6.2,1.0,0.2,0.6,0.4,6.0,baynear01
17,Bradley Beal,6,36.0,.551,.870,3.3,2.8,1.2,0.3,2.5,23.2,bealbr01
18,Marco Belinelli,10,27.3,.481,.871,2.1,2.0,0.7,0.0,0.4,12.9,belinma01
19,Jordan Bell,17,10.2,.531,.500,2.8,0.9,0.4,0.5,0.4,2.4,belljo01
20,Dāvis Bertāns,5,16.4,.250,.727,2.2,1.2,0.4,0.0,0.2,3.4,bertada01
21,Nemanja Bjelica,5,9.4,.563,.714,3.0,0.6,0.6,0.0,0.2,4.6,bjeline01
22,Tarik Black,7,2.7,.250,,0.9,0.3,0.0,0.1,0.1,0.3,blackta01
23,Eric Bledsoe,7,32.1,.482,.700,3.6,3.7,1.0,0.9,2.1,13.6,bledser01
24,Bojan Bogdanović,7,34.0,.500,.600,3.4,1.9,0.9,0.0,1.9,12.4,bogdabo02
25,Trevor Booker,7,9.1,.600,.857,2.6,0.0,0.1,0.1,0.1,2.6,booketr01
26,Tony Bradley,1,2.0,.500,,1.0,0.0,0.0,0.0,0.0,2.0,bradlto01
27,Corey Brewer,6,25.2,.620,1.000,2.2,0.8,1.2,0.8,0.3,6.2,breweco01
28,Malcolm Brogdon,7,26.6,.482,.800,3.4,2.4,0.1,0.0,1.7,8.7,brogdma01
29,Aaron Brooks,2,1.5,.667,.000,0.0,0.0,0.0,0.0,0.0,2.0,brookaa01
30,Jaylen Brown,18,32.4,.549,.640,4.8,1.4,0.8,0.6,1.3,18.0,brownja02
31,Lorenzo Brown,4,7.3,.400,.500,1.5,0.5,0.0,0.3,0.3,2.3,brownlo01
32,Sterling Brown,3,4.3,.700,,0.7,0.0,0.3,0.0,0.0,2.3,brownst02
33,Alec Burks,9,13.3,.539,.867,2.7,1.9,0.4,0.1,0.9,9.1,burksal01
34,Jimmy Butler,5,34.0,.508,.833,6.0,4.0,0.8,0.2,1.0,15.8,butleji01
35,José Calderón,13,8.0,.423,1.000,0.8,0.7,0.4,0.0,0.4,1.8,caldejo01
36,Clint Capela,17,30.6,.660,.473,11.6,1.3,0.8,2.1,0.9,12.7,capelca01
37,Ian Clark,9,21.1,.500,1.000,1.1,1.2,0.9,0.2,1.0,7.8,clarkia01
38,Jordan Clarkson,19,15.1,.346,.833,1.7,0.7,0.4,0.2,0.7,4.7,clarkjo01
39,Zach Collins,4,17.5,.417,.750,3.0,1.5,0.8,0.5,0.5,7.0,colliza01
40,Darren Collison,7,30.6,.515,.750,3.0,4.7,1.0,0.0,1.3,11.3,collida01
41,Pat Connaughton,4,14.8,.467,1.000,1.0,1.5,0.3,0.3,0.3,4.0,connapa01
42,Quinn Cook,17,10.3,.500,.824,1.4,0.6,0.2,0.1,0.3,4.8,cookqu01
43,Robert Covington,10,28.1,.416,.750,5.3,2.5,1.1,0.9,1.1,8.1,covinro01
44,Jamal Crawford,5,24.6,.521,.769,2.6,2.4,1.0,0.0,1.0,11.8,crawfja01
45,Jordan Crawford,2,7.5,.731,,2.0,0.5,0.5,0.0,1.5,9.5,crawfjo02
46,Jae Crowder,11,29.4,.426,.643,5.1,1.7,1.4,0.2,1.3,10.0,crowdja01
47,Stephen Curry,15,37.0,.556,.957,6.1,5.4,1.7,0.7,2.9,25.5,curryst01
48,Anthony Davis,9,39.8,.534,.828,13.4,1.7,2.0,2.3,2.6,30.1,davisan02
49,Ed Davis,4,17.8,.500,.250,8.0,0.0,0.0,0.3,1.0,2.8,davised01
50,Matthew Dellavedova,6,13.0,.417,1.000,0.8,2.7,0.3,0.0,1.0,2.0,dellama01
51,DeMar DeRozan,10,35.4,.462,.811,3.6,4.0,0.5,0.6,2.3,22.7,derozde01
52,Cheick Diallo,7,6.9,.417,,1.3,0.0,0.1,0.1,0.1,1.4,diallch01
53,Gorgui Dieng,5,14.0,.389,.750,3.6,0.8,0.4,0.8,0.2,3.4,dienggo01
54,Goran Dragić,5,31.2,.520,.682,2.6,4.6,1.0,0.0,3.0,18.6,dragigo01
55,Kevin Durant,21,38.4,.541,.901,7.8,4.7,0.7,1.2,2.4,29.0,duranke01
56,Wayne Ellington,5,20.2,.514,1.000,1.6,0.6,0.4,0.4,0.6,7.8,ellinwa01
57,Joel Embiid,8,34.8,.464,.705,12.6,3.0,0.9,1.8,3.6,21.4,embiijo01
58,Dante Exum,10,11.4,.512,.750,1.4,1.0,0.1,0.1,1.5,5.1,exumda01
59,Derrick Favors,11,26.0,.632,.485,5.2,1.2,0.7,1.0,0.9,9.3,favorde01
60,Raymond Felton,6,13.2,.500,.000,2.2,1.5,0.7,0.3,0.8,5.2,feltora01
61,Terrance Ferguson,3,2.0,1.500,,0.3,0.3,0.0,0.0,0.0,1.0,fergute01
62,Bryn Forbes,4,13.5,.353,.714,0.8,0.5,0.0,0.0,0.0,4.3,forbebr01
63,Tim Frazier,2,3.0,.000,,0.5,1.5,0.5,0.0,0.0,0.0,fraziti01
64,Markelle Fultz,3,7.7,.143,.750,1.0,1.7,0.7,0.0,0.3,1.7,fultzma01
65,Pau Gasol*,5,18.0,.525,.900,4.8,2.8,0.0,0.2,1.2,6.0,gasolpa01
66,Rudy Gay,5,32.0,.431,.556,5.6,2.2,1.6,0.2,1.2,12.2,gayru01
67,Paul George,6,41.8,.488,.861,6.0,2.7,1.3,0.7,4.0,24.7,georgpa01
68,Marcus Georges-Hunt,2,1.5,.000,,0.5,0.0,0.0,0.0,0.0,0.0,georgma01
69,Taj Gibson,5,24.6,.636,1.000,4.0,0.4,0.2,0.4,0.8,6.2,gibsota01
70,Manu Ginóbili*,5,21.4,.486,.818,3.0,3.2,1.4,0.2,1.4,9.0,ginobma01
71,Rudy Gobert,11,34.8,.655,.603,10.7,1.0,0.9,2.3,1.9,13.2,goberru01
72,Eric Gordon,17,32.3,.477,.836,2.6,1.6,0.6,0.5,1.4,15.4,gordoer01
73,Marcin Gortat,6,26.7,.558,.571,6.3,1.0,0.0,0.3,1.0,8.7,gortama01
74,Jerami Grant,6,22.2,.543,.455,3.3,1.0,0.7,0.5,1.0,7.2,grantje01
75,Danny Green,5,20.6,.350,,2.2,0.2,0.2,0.8,0.4,4.2,greenda02
76,Draymond Green,21,39.0,.487,.796,10.6,8.1,2.0,1.5,3.0,10.8,greendr01
77,Gerald Green,17,16.0,.537,.857,2.9,0.1,0.2,0.4,0.6,6.3,greenge01
78,Jeff Green,22,23.8,.482,.717,2.4,1.5,0.3,0.7,0.8,7.7,greenje02
79,James Harden,17,36.5,.478,.887,5.2,6.8,2.2,0.6,3.8,28.6,hardeja01
80,Maurice Harkless,2,26.5,.615,,4.0,2.0,0.0,0.5,0.5,8.0,harklma01
81,John Henson,2,37.0,.692,.500,6.0,2.5,0.0,3.5,2.0,9.5,hensojo01
82,Nenê,11,9.7,.600,.636,2.5,0.5,0.2,0.5,0.7,2.8,hilarne01
83,George Hill,19,29.3,.511,.774,2.2,2.2,0.5,0.4,1.2,9.2,hillge01
84,Solomon Hill,9,12.7,.480,.900,1.9,0.8,0.1,0.1,0.7,3.7,hillso01
85,Jrue Holiday,9,38.7,.565,.700,5.7,6.3,1.1,0.6,2.6,23.7,holidjr01
86,Richaun Holmes,3,3.7,.000,,0.3,0.3,0.0,0.0,0.0,0.0,holmeri01
87,Rodney Hood,17,15.3,.446,.750,1.8,1.1,0.3,0.2,0.8,5.4,hoodro01
88,Al Horford,19,35.7,.581,.827,8.3,3.3,1.0,1.2,1.7,15.7,horfoal01
89,Josh Huestis,4,4.8,.500,.500,0.8,0.0,0.3,0.3,0.0,0.8,huestjo01
90,Serge Ibaka,10,26.0,.479,.818,5.9,1.1,0.1,1.3,1.6,8.7,ibakase01
91,Andre Iguodala,15,26.7,.576,.706,4.5,2.7,1.4,0.5,0.9,8.1,iguodan01
92,Ersan İlyasova,10,23.3,.482,.571,7.6,1.3,0.7,0.4,1.0,9.3,ilyaser01
