Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Steven Adams,18,18.4,.689,.348,4.1,0.2,0.1,1.3,0.6,3.9,adamsst01
2,LaMarcus Aldridge,11,40.1,.456,.800,10.6,1.5,0.6,1.6,1.7,26.2,aldrila01
3,Lavoy Allen,4,3.8,.500,,1.3,0.3,0.0,0.0,0.0,1.0,allenla01
4,Ray Allen*,20,26.4,.528,.919,3.4,1.6,0.7,0.2,1.2,9.3,allenra02
5,Tony Allen,7,32.9,.486,.762,7.7,1.4,1.7,0.1,1.7,12.3,allento01
6,Chris Andersen,18,17.6,.579,.684,5.9,0.3,0.3,1.0,0.5,5.1,anderch01
7,Alan Anderson,12,21.8,.476,.667,2.7,1.3,0.8,0.0,0.8,5.9,anderal01
8,Pero Antić,7,24.3,.202,.625,3.9,0.7,0.7,0.4,1.1,3.1,anticpe01
9,Trevor Ariza,11,37.0,.597,.778,8.9,1.7,1.5,0.4,1.3,13.6,arizatr01
10,Hilton Armstrong,7,2.4,.500,.000,0.6,0.3,0.0,0.3,0.6,1.1,armsthi01
11,Ömer Aşık,6,27.2,.485,1.000,8.2,0.7,0.5,0.7,1.8,5.8,asikom01
12,D.J. Augustin,5,28.2,.340,.895,1.6,4.8,0.6,0.0,1.8,13.2,augusdj01
13,Jeff Ayres,17,3.8,.462,.625,1.1,0.3,0.0,0.0,0.1,1.0,pendeje02
14,Harrison Barnes,7,22.3,.479,.563,4.0,1.1,0.1,0.4,0.7,7.9,barneha02
15,Matt Barnes,13,31.1,.509,.684,4.5,1.8,0.9,0.2,1.3,9.4,barnema02
16,Will Barton,7,11.6,.588,.833,1.7,0.4,0.1,0.3,0.9,6.4,bartowi01
17,Shane Battier,16,12.6,.635,.800,0.6,0.3,0.3,0.1,0.3,2.3,battish01
18,Nicolas Batum,11,41.7,.546,.800,7.6,4.8,1.3,0.5,2.5,15.2,batumni01
19,Aron Baynes,14,7.2,.500,.800,2.2,0.0,0.2,0.0,0.5,2.3,baynear01
20,Bradley Beal,11,41.6,.486,.796,5.0,4.5,1.6,0.6,2.1,19.2,bealbr01
21,Michael Beasley,4,5.8,.500,.333,1.0,0.5,0.0,0.0,0.3,2.8,beaslmi01
22,Marco Belinelli,23,15.5,.525,.955,2.3,0.8,0.1,0.0,0.5,5.4,belinma01
23,Patrick Beverley,6,33.7,.450,.700,4.2,1.8,0.5,0.3,0.7,8.7,beverpa01
24,Bismack Biyombo,3,16.0,.600,.333,3.7,0.3,0.0,0.7,0.0,2.7,biyombi01
25,DeJuan Blair,6,13.5,.593,.615,6.2,0.2,2.0,0.0,0.8,6.7,blairde01
26,Steve Blake,6,7.5,.458,.000,0.7,0.3,0.0,0.0,0.3,1.8,blakest01
27,Andray Blatche,12,14.3,.448,.833,5.0,0.3,0.5,0.2,0.8,6.4,blatcan01
28,Matt Bonner,22,6.2,.571,.750,0.6,0.5,0.1,0.0,0.1,1.2,bonnema01
29,Trevor Booker,9,16.2,.448,.667,4.3,0.9,0.2,1.0,0.3,3.3,booketr01
30,Carlos Boozer,5,24.2,.426,.889,7.8,1.0,0.2,0.0,1.4,9.6,boozeca01
31,Chris Bosh*,20,34.3,.572,.750,5.6,1.1,0.9,1.0,0.7,14.9,boshch01
32,Elton Brand,7,11.6,.167,.800,3.3,0.9,0.1,0.9,0.0,1.1,brandel01
33,Reggie Bullock,2,2.5,1.000,,0.0,0.5,0.0,0.0,0.0,1.0,bullore01
34,Caron Butler,18,23.3,.421,.786,3.2,0.8,0.3,0.1,0.6,6.3,butleca01
35,Jimmy Butler,5,43.6,.439,.783,5.2,2.2,1.2,0.0,0.6,13.6,butleji01
