Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Precious Achiuwa,3,4.0,.750,.250,2.0,0.0,0.0,0.7,1.3,2.3,achiupr01
Bam Adebayo,4,34.0,.456,.769,9.3,4.3,1.3,0.5,2.8,15.5,adebaba01
Ty-Shon Alexander,1,1.0,1.000,,0.0,0.0,0.0,0.0,0.0,2.0,alexaty01
Grayson Allen,5,23.2,.485,.000,2.6,0.2,0.4,0.2,0.2,6.4,allengr01
Kyle Anderson,5,28.4,.464,.750,5.0,3.2,2.8,0.0,0.8,8.4,anderky01
Giannis Antetokounmpo,21,38.1,.584,.587,12.8,5.1,1.0,1.2,3.0,30.2,antetgi01
Thanasis Antetokounmpo,13,3.5,.286,.833,0.8,0.2,0.4,0.2,0.2,0.7,antetth01
Carmelo Anthony,6,23.8,.533,.909,3.2,1.5,0.3,0.2,1.2,12.3,anthoca01
Trevor Ariza,4,24.0,.413,,5.8,0.5,0.8,0.3,0.8,4.8,arizatr01
Deandre Ayton,22,36.4,.658,.736,11.8,1.1,0.8,1.1,1.3,15.8,aytonde01
Udoka Azubuike,1,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,azubuud01
Desmond Bane,5,19.8,.737,,3.4,2.0,0.8,0.4,0.6,5.6,banede01
RJ Barrett,5,32.4,.448,.800,7.2,3.0,0.8,0.4,0.4,14.4,barrerj01
Will Barton,3,27.7,.523,1.000,4.3,2.7,0.7,0.3,1.3,16.3,bartowi01
Nicolas Batum,19,29.2,.615,.826,5.5,2.1,1.3,0.5,0.3,8.1,batumni01
Bradley Beal,5,39.0,.484,.861,6.2,4.2,0.8,0.6,4.0,30.0,bealbr01
Dāvis Bertāns,4,26.5,.556,1.000,2.8,0.3,0.3,0.5,0.3,9.3,bertada01
Patrick Beverley,17,19.0,.522,.857,2.4,1.4,0.7,0.7,0.2,4.9,beverpa01
Nemanja Bjelica,2,15.0,.636,.667,2.5,1.0,1.0,0.5,0.0,9.0,bjeline01
Keljin Blevins,2,2.0,.500,,0.0,0.0,0.0,0.0,0.0,1.0,blevike01
Bogdan Bogdanović,18,33.2,.484,.706,4.2,2.9,1.6,0.3,1.5,14.1,bogdabo01
Bojan Bogdanović,11,35.5,.595,.878,4.3,1.5,0.9,0.0,2.1,18.1,bogdabo02
Bol Bol,3,2.0,.000,,0.3,0.7,0.0,0.0,0.0,0.0,bolbo01
Isaac Bonga,4,2.5,.000,,0.0,0.0,0.0,0.3,0.0,0.0,bongais01
Devin Booker,22,40.4,.494,.905,5.6,4.5,0.8,0.2,3.7,27.3,bookede01
Jarrell Brantley,2,1.5,.000,.500,0.5,0.0,0.0,0.0,0.5,0.5,brantja01
Mikal Bridges,22,32.1,.576,.893,4.3,1.6,1.0,0.7,0.7,11.1,bridgmi01
Dillon Brooks,5,35.0,.557,.808,4.2,2.2,1.4,0.4,1.8,25.8,brookdi01
Bruce Brown,12,23.1,.519,.813,5.1,2.1,0.7,0.4,0.9,7.9,brownbr01
Jalen Brunson,7,16.3,.523,.769,2.6,1.4,0.0,0.0,0.6,8.0,brunsja01
Elijah Bryant,11,4.5,.350,,1.1,0.4,0.2,0.1,0.2,1.3,bryanel01
Reggie Bullock,5,32.4,.513,.800,3.4,1.2,0.6,0.2,0.8,8.8,bullore01
Trey Burke,2,8.5,.000,.500,0.5,0.5,0.0,0.0,0.0,0.5,burketr01
Alec Burks,5,25.6,.500,.737,5.0,2.6,0.2,0.0,0.8,14.0,burksal01
Jimmy Butler,4,38.5,.328,.727,7.5,7.0,1.3,0.3,2.3,14.5,butleji01
Kentavious Caldwell-Pope,5,29.2,.448,1.000,2.8,1.0,1.0,0.0,0.4,6.2,caldwke01
Facundo Campazzo,10,27.0,.520,.842,3.0,4.1,1.4,0.4,1.5,9.3,campafa01
Vlatko Čančar,5,4.2,1.167,.800,0.6,0.2,0.2,0.2,0.2,2.2,cancavl01
Clint Capela,18,31.6,.603,.436,11.2,0.9,0.7,1.1,1.0,10.1,capelca01
Jevon Carter,7,3.1,.375,.000,0.3,0.6,0.0,0.0,0.0,0.9,carteje01
Alex Caruso,6,20.2,.434,1.000,1.3,0.5,0.2,0.7,1.2,5.8,carusal01
Willie Cauley-Stein,6,10.5,.667,1.000,2.7,0.5,0.3,0.7,0.5,2.5,caulewi01
Chris Chiozza,6,3.2,.357,,0.2,0.2,0.2,0.0,0.2,0.8,chiozch01
Brandon Clarke,2,4.5,.500,,0.5,0.0,0.0,0.5,0.0,1.0,clarkbr01
Jordan Clarkson,11,27.1,.509,.962,3.1,1.5,0.6,0.3,2.1,17.5,clarkjo01
Nic Claxton,12,10.8,.483,.667,2.8,0.6,0.3,1.0,0.3,2.5,claxtni01
Amir Coffey,10,1.6,.875,.000,0.2,0.1,0.1,0.0,0.1,0.7,coffeam01
John Collins,18,32.0,.604,.833,8.7,0.9,0.4,0.6,1.3,13.9,collijo01
Mike Conley,6,29.3,.559,1.000,3.5,7.7,0.2,0.5,2.3,15.3,conlemi01
Pat Connaughton,23,23.7,.618,.846,4.4,0.9,0.4,0.3,0.5,6.9,connapa01
DeMarcus Cousins,7,8.3,.500,.786,2.0,0.7,0.3,0.4,0.7,7.6,couside01
Robert Covington,6,38.0,.653,.900,7.8,1.2,1.5,1.0,1.3,9.3,covinro01
Torrey Craig,22,12.1,.527,.615,2.9,0.4,0.0,0.4,0.5,4.0,craigto01
Jae Crowder,22,33.1,.560,.886,6.1,1.9,0.9,0.8,0.9,10.8,crowdja01
Seth Curry,12,31.8,.718,.789,2.3,2.3,0.8,0.3,0.8,18.8,curryse01
Anthony Davis,5,28.8,.419,.833,6.6,2.6,0.6,1.6,1.2,17.4,davisan02
Dewayne Dedmon,4,14.3,.583,.800,4.5,0.8,0.0,0.5,1.5,6.3,dedmode01
Mamadi Diakite,7,5.0,.250,1.000,1.0,0.0,0.4,0.1,0.1,1.0,diakima01
Donte DiVincenzo,3,23.3,.250,,6.3,2.7,1.0,0.3,2.0,2.7,divindo01
Luka Dončić,7,40.1,.569,.529,7.9,10.3,1.3,0.4,4.6,35.7,doncilu01
Goran Dragić,4,29.3,.509,.750,1.8,2.8,1.0,0.5,1.5,16.0,dragigo01
Andre Drummond,5,21.0,.594,.700,11.0,0.0,0.8,0.6,2.2,9.0,drumman01
Jared Dudley,2,2.5,,,0.0,0.0,0.0,0.0,0.0,0.0,dudleja01
Kris Dunn,5,6.6,.200,1.000,1.0,1.0,0.4,0.4,0.8,1.2,dunnkr01
Kevin Durant,12,40.4,.573,.871,9.3,4.4,1.5,1.6,3.5,34.3,duranke01
Carsen Edwards,2,2.5,.833,,0.5,0.0,0.0,0.0,0.0,2.5,edwarca01
CJ Elleby,2,4.0,.000,,1.5,0.5,0.0,0.0,0.5,0.0,ellebcj01
Joel Embiid,11,32.5,.553,.835,10.5,3.4,1.0,1.5,3.8,28.1,embiijo01
Tacko Fall,1,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,fallta01
Derrick Favors,11,13.2,.696,.556,4.2,0.3,0.2,0.9,0.5,3.4,favorde01
Bruno Fernando,6,2.0,.667,1.000,0.2,0.0,0.0,0.0,0.0,1.0,fernabr01
Yogi Ferrell,9,1.7,.400,,0.3,0.3,0.0,0.0,0.0,0.4,ferreyo01
Dorian Finney-Smith,7,38.7,.531,.800,6.6,2.1,1.1,0.3,1.7,10.3,finnedo01
Bryn Forbes,20,13.7,.558,.750,1.4,0.3,0.1,0.1,0.4,6.6,forbebr01
Trent Forrest,4,2.5,.500,,0.0,0.0,0.0,0.0,0.0,1.0,forretr01
