Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
48,Bogdan Bogdanović,61,29.0,.547,.741,3.4,3.4,1.0,0.2,1.7,15.1,bogdabo01
49,Bojan Bogdanović,63,33.1,.548,.903,4.1,2.1,0.5,0.1,2.5,20.2,bogdabo02
50,Bol Bol,7,12.4,.571,.800,2.7,0.9,0.3,0.9,1.4,5.7,bolbo01
51,Jonah Bolden,7,6.7,.364,.500,1.3,0.0,0.4,0.3,0.3,1.4,boldejo01
51,Jonah Bolden,4,3.5,.667,.000,0.3,0.0,0.3,0.0,0.5,1.0,boldejo01
51,Jonah Bolden,3,11.0,.250,1.000,2.7,0.0,0.7,0.7,0.0,2.0,boldejo01
52,Marques Bolden,1,3.0,,,2.0,0.0,1.0,0.0,0.0,0.0,boldema01
53,Jordan Bone,10,5.3,.300,,0.4,0.8,0.1,0.0,0.2,1.2,bonejo01
54,Isaac Bonga,66,18.9,.558,.812,3.4,1.2,0.7,0.3,0.9,5.0,bongais01
55,Devin Booker,70,35.9,.544,.919,4.2,6.5,0.7,0.3,3.8,26.6,bookede01
56,Chris Boucher,62,13.2,.535,.784,4.5,0.4,0.4,1.0,0.5,6.6,bouchch01
57,Brian Bowen,6,5.2,.300,,1.2,0.0,0.0,0.2,0.2,1.0,bowenbr02
58,Ky Bowman,45,22.6,.469,.829,2.7,2.9,1.0,0.2,1.6,7.4,bowmaky01
59,Avery Bradley,49,24.2,.526,.833,2.3,1.3,0.9,0.1,1.0,8.6,bradlav01
60,Tony Bradley,58,11.4,.675,.652,4.6,0.4,0.2,0.6,0.5,4.9,bradlto01
61,Jarrell Brantley,9,10.7,.411,.500,2.2,1.2,0.3,0.6,0.8,2.7,brantja01
62,Ignas Brazdeikis,9,5.9,.295,.800,0.6,0.4,0.0,0.1,0.2,1.9,brazdig01
63,Corey Brewer,5,6.6,.500,.333,1.6,0.4,0.8,0.0,0.4,1.0,breweco01
64,Mikal Bridges,73,28.0,.583,.844,4.0,1.8,1.4,0.6,1.0,9.1,bridgmi01
65,Miles Bridges,65,30.7,.489,.809,5.6,1.8,0.6,0.7,1.5,13.0,bridgmi02
66,Oshae Brissett,19,7.1,.403,.800,1.4,0.4,0.2,0.1,0.4,1.9,brissos01
67,Ryan Broekhoff,17,10.6,.542,.875,2.5,0.6,0.3,0.2,0.4,4.2,broekry01
68,Malcolm Brogdon,54,30.9,.489,.892,4.9,7.1,0.6,0.2,2.4,16.5,brogdma01
69,Dillon Brooks,73,28.9,.476,.808,3.3,2.1,0.9,0.4,1.7,16.2,brookdi01
70,Bruce Brown,58,28.2,.480,.739,4.7,4.0,1.1,0.5,1.7,8.9,brownbr01
71,Charlie Brown Jr.,10,4.0,.395,1.000,0.4,0.2,0.2,0.2,0.3,2.0,brownch02
72,Jaylen Brown,57,33.9,.554,.724,6.4,2.1,1.1,0.4,2.2,20.3,brownja02
73,Moses Brown,9,3.7,.400,.375,1.6,0.1,0.1,0.1,0.3,1.2,brownmo01
74,Sterling Brown,52,14.8,.457,.800,3.5,1.0,0.6,0.1,0.8,5.1,brownst02
75,Troy Brown Jr.,69,25.8,.488,.784,5.6,2.6,1.2,0.1,1.1,10.4,browntr01
76,Jalen Brunson,57,17.9,.522,.813,2.4,3.3,0.4,0.1,1.2,8.2,brunsja01
77,Thomas Bryant,46,24.9,.626,.741,7.2,1.8,0.5,1.1,1.2,13.2,bryanth01
78,Reggie Bullock,29,23.6,.484,.810,2.3,1.4,0.9,0.1,0.7,8.1,bullore01
79,Trey Burke,33,15.8,.526,.793,1.5,2.5,0.5,0.1,0.6,7.4,burketr01
79,Trey Burke,25,13.2,.528,.722,1.4,2.1,0.3,0.0,0.5,5.9,burketr01
79,Trey Burke,8,23.9,.524,.909,1.9,3.8,1.1,0.1,1.1,12.0,burketr01
80,Alec Burks,66,26.6,.493,.887,4.3,2.9,0.9,0.3,1.4,15.0,burksal01
80,Alec Burks,48,29.0,.476,.897,4.7,3.1,1.0,0.4,1.6,16.1,burksal01
80,Alec Burks,18,20.2,.557,.829,3.1,2.1,0.7,0.0,0.8,12.2,burksal01
81,Deonte Burton,39,9.1,.384,.571,1.5,0.4,0.2,0.3,0.5,2.7,burtode02
82,Jimmy Butler,58,33.8,.474,.834,6.7,6.0,1.8,0.6,2.2,19.9,butleji01
83,Bruno Caboclo,30,8.1,.461,.889,2.0,0.4,0.5,0.6,0.4,3.0,cabocbr01
83,Bruno Caboclo,22,8.7,.435,.667,2.0,0.5,0.5,0.5,0.3,2.8,cabocbr01
83,Bruno Caboclo,8,6.5,.550,1.000,2.0,0.3,0.6,0.6,0.8,3.5,cabocbr01
84,Devontae Cacok,1,9.0,.500,,5.0,1.0,0.0,0.0,0.0,6.0,cacokde01
85,Kentavious Caldwell-Pope,69,25.5,.558,.775,2.1,1.6,0.8,0.2,0.9,9.3,caldwke01
86,Vlatko Čančar,14,3.2,.433,1.000,0.7,0.2,0.1,0.1,0.2,1.2,cancavl01
87,Clint Capela,39,32.8,.629,.529,13.8,1.2,0.8,1.8,1.6,13.9,capelca01
88,DeMarre Carroll,24,12.1,.439,.690,2.3,1.0,0.3,0.2,0.7,3.6,carrode01
88,DeMarre Carroll,15,9.0,.362,.600,2.1,0.7,0.1,0.1,0.7,2.2,carrode01
88,DeMarre Carroll,9,17.2,.500,.773,2.7,1.6,0.7,0.3,0.8,6.0,carrode01
89,Jevon Carter,58,16.3,.543,.852,2.0,1.4,0.8,0.3,0.6,4.9,carteje01
90,Vince Carter,60,14.6,.452,.793,2.1,0.8,0.4,0.4,0.6,5.0,cartevi01
91,Wendell Carter Jr.,43,29.2,.542,.737,9.4,1.2,0.8,0.8,1.7,11.3,cartewe01
92,Michael Carter-Williams,45,18.5,.469,.832,3.3,2.4,1.1,0.5,1.2,7.2,cartemi01
93,Alex Caruso,64,18.4,.481,.734,1.9,1.9,1.1,0.3,0.8,5.5,carusal01
94,Willie Cauley-Stein,54,20.3,.579,.606,5.8,1.3,0.9,1.1,0.7,7.2,caulewi01
94,Willie Cauley-Stein,41,22.9,.560,.614,6.2,1.5,1.1,1.2,0.9,7.9,caulewi01
94,Willie Cauley-Stein,13,12.1,.689,.556,4.6,0.8,0.3,0.8,0.4,5.2,caulewi01
95,Tyson Chandler,26,8.4,.778,.462,2.5,0.2,0.2,0.3,0.3,1.3,chandty01
96,Wilson Chandler,35,21.0,.505,.870,4.1,1.1,0.5,0.3,1.0,5.9,chandwi01
97,Joe Chealey,4,8.3,.000,1.000,0.0,0.3,1.0,0.0,0.5,0.5,chealjo01
