Rk,Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
1,Quincy Acy,59,14.8,.600,.735,3.2,0.5,0.5,0.4,0.5,5.2,acyqu01
2,Jordan Adams,2,7.5,.333,.600,1.0,1.5,1.5,0.0,1.0,3.5,adamsjo01
3,Steven Adams,80,25.2,.613,.582,6.7,0.8,0.5,1.1,1.1,8.0,adamsst01
4,Arron Afflalo,71,33.4,.500,.840,3.7,2.0,0.4,0.1,1.2,12.8,afflaar01
5,Alexis Ajinça,59,14.6,.476,.839,4.6,0.5,0.3,0.6,0.9,6.0,ajincal01
6,Cole Aldrich,60,13.3,.596,.714,4.8,0.8,0.8,1.1,1.1,5.5,aldrico01
7,LaMarcus Aldridge,74,30.6,.513,.858,8.5,1.5,0.5,1.1,1.3,18.0,aldrila01
8,Cliff Alexander,8,4.5,.500,,0.8,0.0,0.1,0.3,0.1,1.3,alexacl01
9,Lavoy Allen,79,20.2,.516,.630,5.4,1.0,0.3,0.5,0.9,5.4,allenla01
10,Tony Allen,64,25.3,.474,.652,4.6,1.1,1.7,0.3,1.2,8.4,allento01
11,Al-Farouq Aminu,82,28.5,.503,.737,6.1,1.7,0.9,0.6,1.5,10.2,aminual01
12,Lou Amundson,29,7.0,.358,.519,1.7,0.4,0.2,0.2,0.5,1.8,amundlo01
13,Chris Andersen,27,14.9,.556,.694,3.6,0.4,0.6,0.5,0.3,3.9,anderch01
13,Chris Andersen,7,5.1,.500,.750,1.3,0.4,0.1,0.4,0.3,1.9,anderch01
13,Chris Andersen,20,18.3,.565,.688,4.5,0.5,0.7,0.5,0.4,4.6,anderch01
14,Alan Anderson,13,14.8,.458,.733,2.1,1.1,0.3,0.1,0.2,5.0,anderal01
15,James Anderson,51,14.1,.441,.759,1.7,0.8,0.4,0.3,0.8,3.5,anderja01
16,Justin Anderson,55,11.8,.469,.800,2.4,0.5,0.3,0.5,0.4,3.8,anderju01
17,Kyle Anderson,78,16.0,.488,.747,3.1,1.6,0.8,0.4,0.8,4.5,anderky01
18,Ryan Anderson,66,30.4,.498,.873,6.0,1.1,0.6,0.4,1.4,17.0,anderry01
19,Giannis Antetokounmpo,80,35.3,.520,.724,7.7,4.3,1.2,1.4,2.6,16.9,antetgi01
20,Thanasis Antetokounmpo,2,3.0,.750,,0.5,0.0,0.0,0.0,0.0,3.0,antetth01
21,Carmelo Anthony,72,35.1,.474,.829,7.7,4.2,0.9,0.5,2.4,21.8,anthoca01
22,Joel Anthony,19,5.1,.600,.750,1.1,0.1,0.1,0.6,0.1,0.9,anthojo01
23,Keith Appling,5,5.4,.250,1.000,0.2,0.2,0.2,0.0,0.6,1.2,applike01
24,Trevor Ariza,81,35.3,.523,.783,4.5,2.3,2.0,0.3,1.4,12.7,arizatr01
25,Darrell Arthur,70,21.7,.498,.755,4.2,1.4,0.8,0.7,0.9,7.5,arthuda01
26,Ömer Aşık,68,17.3,.533,.545,6.1,0.4,0.3,0.3,0.9,4.0,asikom01
27,D.J. Augustin,62,19.0,.520,.805,1.5,3.2,0.6,0.1,1.4,7.5,augusdj01
27,D.J. Augustin,34,15.3,.479,.765,1.3,1.9,0.4,0.1,0.9,4.2,augusdj01
27,D.J. Augustin,28,23.5,.541,.819,1.9,4.7,0.9,0.1,1.9,11.6,augusdj01
28,Jeff Ayres,17,6.3,.522,1.000,1.3,0.3,0.0,0.2,0.4,1.8,pendeje02
29,Luke Babbitt,47,18.0,.498,.780,3.1,1.1,0.2,0.1,0.5,7.0,babbilu01
30,Cameron Bairstow,18,5.7,.338,.875,1.6,0.3,0.1,0.2,0.2,1.9,bairsca01
31,Leandro Barbosa,68,15.9,.515,.839,1.7,1.2,0.6,0.1,0.8,6.4,barbole01
32,J.J. Barea,74,22.5,.516,.771,2.1,4.1,0.4,0.0,1.5,10.9,bareajo01
