Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Precious Achiuwa,73,23.6,.486,.595,6.5,1.1,0.5,0.6,1.2,9.1,achiupr01
Steven Adams,76,26.3,.547,.543,10.0,3.4,0.9,0.8,1.5,6.9,adamsst01
Bam Adebayo,56,32.6,.557,.753,10.1,3.4,1.4,0.8,2.6,19.1,adebaba01
Santi Aldama,32,11.3,.424,.625,2.7,0.7,0.2,0.3,0.5,4.1,aldamsa01
LaMarcus Aldridge,47,22.3,.566,.873,5.5,0.9,0.3,1.0,0.9,12.9,aldrila01
Nickeil Alexander-Walker,65,22.6,.449,.743,2.9,2.4,0.7,0.4,1.4,10.6,alexani01
Nickeil Alexander-Walker,50,26.3,.450,.722,3.3,2.8,0.8,0.4,1.7,12.8,alexani01
Nickeil Alexander-Walker,15,9.9,.438,.917,1.5,1.1,0.3,0.3,0.5,3.5,alexani01
Grayson Allen,66,27.3,.588,.865,3.4,1.5,0.7,0.3,0.7,11.1,allengr01
Jarrett Allen,56,32.3,.678,.708,10.8,1.6,0.8,1.3,1.7,16.1,allenja01
Jose Alvarado,54,15.4,.500,.679,1.9,2.8,1.3,0.1,0.7,6.1,alvarjo01
Justin Anderson,16,19.8,.458,.789,2.9,2.1,0.5,0.4,0.5,6.4,anderju01
Justin Anderson,3,15.7,.625,.750,2.0,2.0,0.3,0.0,0.7,4.3,anderju01
Justin Anderson,13,20.7,.443,.800,3.1,2.1,0.5,0.5,0.5,6.8,anderju01
Kyle Anderson,69,21.5,.484,.638,5.3,2.7,1.1,0.7,1.0,7.6,anderky01
Giannis Antetokounmpo,67,32.9,.582,.722,11.6,5.8,1.1,1.4,3.3,29.9,antetgi01
Thanasis Antetokounmpo,48,9.9,.555,.630,2.1,0.5,0.3,0.3,0.5,3.6,antetth01
Carmelo Anthony,69,26.0,.544,.830,4.2,1.0,0.7,0.8,0.9,13.3,anthoca01
Cole Anthony,65,31.7,.464,.854,5.4,5.7,0.7,0.3,2.6,16.3,anthoco01
OG Anunoby,48,36.0,.526,.754,5.5,2.6,1.5,0.5,1.7,17.1,anunoog01
Ryan Arcidiacono,10,7.6,.667,,0.8,0.4,0.1,0.0,0.3,1.6,arcidry01
Trevor Ariza,24,19.3,.434,.556,3.4,1.1,0.5,0.3,0.5,4.0,arizatr01
D.J. Augustin,55,16.1,.577,.884,1.2,1.9,0.3,0.0,1.0,5.3,augusdj01
D.J. Augustin,34,15.0,.548,.868,1.2,2.2,0.3,0.0,1.3,5.4,augusdj01
D.J. Augustin,21,17.8,.622,1.000,1.3,1.6,0.3,0.0,0.5,5.3,augusdj01
Deni Avdija,82,24.2,.503,.757,5.2,2.0,0.7,0.5,1.1,8.4,avdijde01
Joel Ayayi,7,2.9,.167,,0.4,0.6,0.0,0.0,0.0,0.3,ayayijo01
Deandre Ayton,58,29.5,.639,.746,10.2,1.4,0.7,0.7,1.6,17.2,aytonde01
Udoka Azubuike,17,11.5,.755,.545,4.2,0.0,0.1,0.6,0.7,4.7,azubuud01
Marvin Bagley III,48,24.0,.530,.663,7.0,0.8,0.5,0.4,0.8,11.3,baglema01
Marvin Bagley III,30,22.1,.494,.745,7.2,0.6,0.3,0.4,0.7,9.3,baglema01
Marvin Bagley III,18,27.2,.575,.593,6.8,1.1,0.7,0.4,1.0,14.6,baglema01
LaMelo Ball,75,32.3,.517,.872,6.7,7.6,1.6,0.4,3.3,20.1,ballla01
Lonzo Ball,35,34.6,.567,.750,5.4,5.1,1.8,0.9,2.3,13.0,balllo01
Mo Bamba,71,25.7,.566,.781,8.1,1.2,0.5,1.7,1.1,10.6,bambamo01
Desmond Bane,76,29.8,.565,.903,4.4,2.7,1.2,0.4,1.5,18.2,banede01
Dalano Banton,64,10.9,.443,.591,1.9,1.5,0.4,0.2,0.8,3.2,bantoda01
Cat Barber,3,4.3,.000,.000,1.0,1.0,0.0,0.0,0.3,0.0,barbeca01
Harrison Barnes,77,33.5,.554,.826,5.6,2.4,0.7,0.2,1.5,16.4,barneha02
Scottie Barnes,74,35.4,.524,.735,7.5,3.5,1.1,0.7,1.8,15.3,barnesc01
RJ Barrett,70,34.5,.466,.714,5.8,3.0,0.6,0.2,2.2,20.0,barrerj01
Will Barton,71,32.1,.525,.803,4.8,3.9,0.8,0.4,1.8,14.7,bartowi01
Paris Bass,2,3.5,.333,1.000,2.0,0.0,0.5,0.0,1.0,3.0,basspa01
Charles Bassey,23,7.3,.638,.750,2.7,0.3,0.2,0.7,0.3,3.0,bassech01
Keita Bates-Diop,59,16.2,.549,.754,3.9,0.7,0.5,0.2,0.8,5.7,bateske01
Nicolas Batum,59,24.8,.602,.658,4.3,1.7,1.0,0.7,0.7,8.3,batumni01
Kent Bazemore,39,14.0,.428,.765,1.8,0.9,0.6,0.2,0.5,3.4,bazemke01
Darius Bazley,69,27.9,.484,.688,6.3,1.4,0.8,1.0,1.3,10.8,bazleda01
Bradley Beal,40,36.0,.492,.833,4.7,6.6,0.9,0.4,3.4,23.2,bealbr01
Malik Beasley,79,25.0,.532,.817,2.9,1.5,0.5,0.2,0.5,12.1,beaslma01
Jordan Bell,1,2.0,,,1.0,0.0,1.0,0.0,0.0,0.0,belljo01
DeAndre' Bembry,56,18.3,.595,.600,2.9,1.2,0.9,0.4,0.6,5.1,bembrde01
DeAndre' Bembry,48,19.8,.603,.600,3.2,1.3,1.0,0.5,0.6,5.8,bembrde01
DeAndre' Bembry,8,9.6,.375,,1.4,0.8,0.3,0.0,0.1,0.8,bembrde01
Dāvis Bertāns,56,14.4,.500,.900,2.1,0.6,0.3,0.2,0.3,5.6,bertada01
Dāvis Bertāns,34,14.7,.485,.933,1.8,0.5,0.3,0.2,0.4,5.7,bertada01
Dāvis Bertāns,22,13.9,.524,.800,2.5,0.7,0.3,0.3,0.2,5.3,bertada01
Patrick Beverley,58,25.4,.501,.722,4.1,4.6,1.2,0.9,1.3,9.2,beverpa01
Saddiq Bey,82,33.0,.489,.827,5.4,2.8,0.9,0.2,1.2,16.1,beysa01
Khem Birch,55,18.0,.485,.746,4.3,1.0,0.5,0.5,0.5,4.5,birchkh01
Goga Bitadze,50,14.6,.565,.681,3.5,1.1,0.4,0.8,0.9,7.0,bitadgo01
Bismack Biyombo,36,14.1,.593,.535,4.6,0.6,0.3,0.7,0.7,5.8,biyombi01
Nemanja Bjelica,71,16.1,.547,.728,4.1,2.2,0.6,0.4,1.2,6.1,bjeline01
Eric Bledsoe,54,25.2,.475,.761,3.4,4.2,1.3,0.4,2.1,9.9,bledser01
Keljin Blevins,31,11.3,.401,.545,1.5,0.6,0.4,0.0,0.5,3.1,blevike01
Bogdan Bogdanović,63,29.3,.537,.843,4.0,3.1,1.1,0.2,1.1,15.1,bogdabo01
Bojan Bogdanović,69,30.9,.552,.858,4.3,1.7,0.5,0.0,1.7,18.1,bogdabo02
Bol Bol,14,5.8,.574,.400,1.4,0.4,0.1,0.1,0.3,2.4,bolbo01
Leandro Bolmaro,35,6.9,.361,.846,1.2,0.6,0.2,0.0,0.4,1.4,bolmale01
Isaac Bonga,15,4.6,.269,.625,0.5,0.3,0.5,0.1,0.1,0.8,bongais01
Devin Booker,68,34.5,.530,.868,5.0,4.8,1.1,0.4,2.4,26.8,bookede01
Brandon Boston Jr.,51,14.9,.437,.819,2.2,1.0,0.5,0.3,0.6,6.7,bostobr01
Chris Boucher,80,21.1,.523,.777,6.2,0.3,0.6,0.9,0.5,9.4,bouchch01
James Bouknight,31,9.8,.408,.871,1.7,0.8,0.2,0.0,0.5,4.6,bouknja01
Avery Bradley,62,22.7,.540,.889,2.2,0.8,0.9,0.1,0.6,6.4,bradlav01
Tony Bradley,55,10.0,.585,.655,3.4,0.5,0.2,0.6,0.6,3.0,bradlto01
Ignas Brazdeikis,42,12.8,.503,.656,1.7,0.9,0.2,0.1,0.4,5.0,brazdig01
Mikal Bridges,82,34.8,.601,.834,4.2,2.3,1.2,0.4,0.8,14.2,bridgmi01
Miles Bridges,80,35.5,.554,.802,7.0,3.8,0.9,0.8,1.9,20.2,bridgmi02
Oshae Brissett,67,23.3,.493,.695,5.3,1.1,0.7,0.4,0.8,9.1,brissos01
Malcolm Brogdon,36,33.5,.501,.856,5.1,5.9,0.8,0.4,2.1,19.1,brogdma01
Armoni Brooks,54,15.6,.467,.857,1.9,1.1,0.5,0.2,0.5,5.3,brookar01
Armoni Brooks,41,16.8,.474,.842,2.0,1.2,0.5,0.2,0.6,6.2,brookar01
Armoni Brooks,13,11.8,.421,1.000,1.7,1.0,0.5,0.2,0.3,2.6,brookar01
Dillon Brooks,32,27.7,.475,.849,3.2,2.8,1.1,0.3,1.6,18.4,brookdi01
Bruce Brown,72,24.6,.543,.758,4.8,2.1,1.1,0.7,0.8,9.0,brownbr01
Charlie Brown Jr.,22,8.1,.269,.900,1.5,0.3,0.5,0.2,0.2,1.4,brownch02
Charlie Brown Jr.,3,5.0,.200,,0.3,0.3,0.7,0.3,0.0,0.7,brownch02
Charlie Brown Jr.,19,8.5,.279,.900,1.6,0.3,0.4,0.2,0.3,1.5,brownch02
Chaundee Brown Jr.,5,20.8,.406,.833,3.2,0.8,0.4,0.0,0.2,6.2,brownch05
Chaundee Brown Jr.,2,10.5,.143,,1.0,0.0,0.0,0.0,0.5,1.0,brownch05
Chaundee Brown Jr.,3,27.7,.480,.833,4.7,1.3,0.7,0.0,0.0,9.7,brownch05
Greg Brown III,48,13.3,.476,.677,2.8,0.7,0.5,0.5,0.8,4.7,browngr01
Jaylen Brown,66,33.6,.541,.758,6.1,3.5,1.1,0.3,2.7,23.6,brownja02
Moses Brown,40,8.6,.593,.597,3.4,0.0,0.2,0.4,0.5,4.3,brownmo01
Moses Brown,26,6.5,.540,.628,2.3,0.0,0.1,0.3,0.5,3.1,brownmo01
Moses Brown,14,12.6,.638,.552,5.3,0.0,0.3,0.5,0.4,6.4,brownmo01
Sterling Brown,49,12.8,.471,.933,3.0,0.7,0.3,0.1,0.5,3.3,brownst02
Troy Brown Jr.,66,16.0,.510,.769,3.1,1.0,0.5,0.1,0.4,4.3,browntr01
Jalen Brunson,79,31.9,.549,.840,3.9,4.8,0.8,0.0,1.6,16.3,brunsja01
Thomas Bryant,27,16.3,.561,.875,4.0,0.9,0.2,0.8,0.7,7.4,bryanth01
Shaq Buchanan,2,5.0,.250,,1.0,1.0,0.5,0.0,1.0,1.0,buchash01
Reggie Bullock,68,28.0,.542,.833,3.5,1.2,0.6,0.2,0.6,8.6,bullore01
Trey Burke,42,10.5,.451,.870,0.8,1.4,0.3,0.0,0.6,5.1,burketr01
Alec Burks,81,28.6,.499,.822,4.9,3.0,1.0,0.3,1.1,11.7,burksal01
Jared Butler,42,8.6,.497,.688,1.1,1.5,0.4,0.2,0.8,3.8,butleja02
Jimmy Butler,57,33.9,.496,.870,5.9,5.5,1.6,0.5,2.1,21.4,butleji01
Devontae Cacok,15,8.1,.677,.571,2.8,0.4,0.5,0.5,0.2,3.1,cacokde01
Kentavious Caldwell-Pope,77,30.2,.531,.890,3.4,1.9,1.1,0.3,1.3,13.2,caldwke01
Facundo Campazzo,65,18.2,.459,.769,1.8,3.4,1.0,0.4,1.0,5.1,campafa01
Vlatko Čančar,15,11.7,.646,.643,2.1,1.1,0.1,0.2,0.6,4.1,cancavl01
Devin Cannady,5,29.0,.511,.714,1.2,2.0,1.0,0.6,1.0,10.0,cannade01
Clint Capela,74,27.6,.613,.473,11.9,1.2,0.7,1.3,0.6,11.1,capelca01
Vernon Carey Jr.,7,6.3,.538,.462,1.7,0.0,0.3,0.1,0.4,2.9,careyve01
Vernon Carey Jr.,4,4.3,.500,.667,1.3,0.0,0.3,0.0,0.3,2.0,careyve01
Vernon Carey Jr.,3,9.0,.571,.400,2.3,0.0,0.3,0.3,0.7,4.0,careyve01
Jevon Carter,66,13.7,.518,.833,1.7,1.5,0.4,0.2,0.5,4.2,carteje01
Jevon Carter,46,12.0,.454,.700,1.5,1.0,0.3,0.2,0.6,3.6,carteje01
Jevon Carter,20,17.7,.658,1.000,2.2,2.5,0.5,0.2,0.4,5.6,carteje01
Wendell Carter Jr.,62,29.9,.576,.691,10.5,2.8,0.6,0.7,1.9,15.0,cartewe01
Alex Caruso,41,28.0,.480,.795,3.6,4.0,1.7,0.4,1.4,7.4,carusal01
Willie Cauley-Stein,20,9.2,.471,.500,2.0,0.5,0.3,0.2,0.4,1.7,caulewi01
Willie Cauley-Stein,18,9.8,.471,.500,2.1,0.5,0.3,0.2,0.4,1.9,caulewi01
Willie Cauley-Stein,2,3.0,,,1.0,0.5,0.0,0.0,0.0,0.0,caulewi01
Ahmad Caver,1,1.0,1.000,,0.0,0.0,0.0,0.0,0.0,2.0,caverah01
Justin Champagnie,36,7.8,.537,1.000,2.0,0.3,0.2,0.1,0.2,2.3,champju01
Zylan Cheatham,1,5.0,.000,,0.0,0.0,0.0,0.0,0.0,0.0,cheatzy01
Chris Chiozza,34,10.9,.401,.667,1.1,1.9,0.4,0.0,0.9,2.0,chiozch01
